ts,oi_open,oi_high,oi_low,oi_close,api_version,interval,symbol,endpoint,path,fetched_at
2025-07-22 06:00:00+00:00,5043656208.0,5220529653.0,5035285370.0,5167628518.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:29:39.860663+00:00
2025-07-22 12:00:00+00:00,5167628518.0,5252592208.0,5036167850.0,5078693749.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:29:39.860663+00:00
2025-07-22 18:00:00+00:00,5078693749.0,5165563373.0,4917693759.0,5104505294.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:29:39.860663+00:00
2025-07-23 00:00:00+00:00,5104505294.0,5122464072.0,4991547458.0,5083908419.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:29:39.860663+00:00
2025-07-23 06:00:00+00:00,5083908419.0,5112113856.0,4847488576.0,4868018933.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:57:59.537387+00:00
2025-07-23 12:00:00+00:00,4868018933.0,4868018933.0,4367151452.0,4448401750.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:57:59.537387+00:00
2025-07-23 18:00:00+00:00,4448401750.0,4509321234.0,4219233543.0,4341119881.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:57:59.537387+00:00
2025-07-24 00:00:00+00:00,4341119881.0,4567530866.0,4214585110.0,4214585110.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:57:59.537387+00:00
2025-07-24 06:00:00+00:00,4214585110.0,4269548467.0,4039941218.0,4205864589.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:57:59.537387+00:00
2025-07-24 12:00:00+00:00,4205864589.0,4320847366.0,4100352938.0,4183677655.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:57:59.537387+00:00
2025-07-24 18:00:00+00:00,4183677655.0,4213067749.0,3989412156.0,3999965506.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:57:59.537387+00:00
2025-07-25 00:00:00+00:00,3999965506.0,4005592373.0,3731936249.0,3788800621.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:57:59.537387+00:00
2025-07-25 06:00:00+00:00,3788800621.0,3997527487.0,3719626104.0,3895401474.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:57:59.537387+00:00
2025-07-25 12:00:00+00:00,3895401474.0,3954854955.0,3707222131.0,3801901273.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:57:59.537387+00:00
2025-07-25 18:00:00+00:00,3801901273.0,4036997490.0,3795405966.0,4014646623.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:57:59.537387+00:00
2025-07-26 00:00:00+00:00,4014646623.0,4100413816.0,3934172024.0,4055462951.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:57:59.537387+00:00
2025-07-26 06:00:00+00:00,4055462951.0,4099034119.0,4031233620.0,4042852424.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:57:59.537387+00:00
2025-07-26 12:00:00+00:00,4042852424.0,4128794026.0,4029532091.0,4064669817.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:57:59.537387+00:00
2025-07-26 18:00:00+00:00,4064669817.0,4136295515.0,4026692379.0,4029676002.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:57:59.537387+00:00
2025-07-27 00:00:00+00:00,4029676002.0,4154695946.0,4024145982.0,4144053903.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:57:59.537387+00:00
2025-07-27 06:00:00+00:00,4144053903.0,4168602478.0,4054591252.0,4111431250.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:57:59.537387+00:00
2025-07-27 12:00:00+00:00,4111431250.0,4239229544.0,4111123770.0,4197796826.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:57:59.537387+00:00
2025-07-27 18:00:00+00:00,4197796826.0,4236637161.0,4116921695.0,4182673182.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:57:59.537387+00:00
2025-07-28 00:00:00+00:00,4182673182.0,4382987716.0,4137713137.0,4355453019.0,v3,6h,DOGE,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:57:59.537387+00:00
