ts,top_pos_ls_ratio,top_pos_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-07-22 06:00:00+00:00,4.67,82.37,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:29:55.190469+00:00
2025-07-22 12:00:00+00:00,4.6,82.15,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:29:55.190469+00:00
2025-07-22 18:00:00+00:00,4.54,81.95,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:29:55.190469+00:00
2025-07-23 00:00:00+00:00,4.51,81.85,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:29:55.190469+00:00
2025-07-23 06:00:00+00:00,4.35,81.32,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:58:17.278826+00:00
2025-07-23 12:00:00+00:00,4.2,80.76,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:58:17.278826+00:00
2025-07-23 18:00:00+00:00,6.03,85.77,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:58:17.278826+00:00
2025-07-24 00:00:00+00:00,5.23,83.94,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:58:17.278826+00:00
2025-07-24 06:00:00+00:00,4.42,81.56,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:58:17.278826+00:00
2025-07-24 12:00:00+00:00,4.41,81.5,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:58:17.278826+00:00
2025-07-24 18:00:00+00:00,4.15,80.57,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:58:17.278826+00:00
2025-07-25 00:00:00+00:00,4.12,80.47,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:58:17.278826+00:00
2025-07-25 06:00:00+00:00,4.24,80.92,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:17:53.079414+00:00
2025-07-25 12:00:00+00:00,4.31,81.16,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:17:53.079414+00:00
2025-07-25 18:00:00+00:00,4.22,80.84,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:17:53.079414+00:00
2025-07-26 00:00:00+00:00,4.01,80.02,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:17:53.079414+00:00
2025-07-26 06:00:00+00:00,4.28,81.06,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:17:53.079414+00:00
2025-07-26 12:00:00+00:00,4.23,80.89,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:17:53.079414+00:00
2025-07-26 18:00:00+00:00,4.18,80.71,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:17:53.079414+00:00
2025-07-27 00:00:00+00:00,4.37,81.36,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:17:53.079414+00:00
2025-07-27 06:00:00+00:00,4.17,80.67,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:17:53.079414+00:00
2025-07-27 12:00:00+00:00,3.97,79.86,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:17:53.079414+00:00
2025-07-27 18:00:00+00:00,3.51,77.84,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:17:53.079414+00:00
2025-07-28 00:00:00+00:00,3.56,78.06,v3,6h,DOGE,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:17:53.079414+00:00
