ts,oi_open,oi_high,oi_low,oi_close,api_version,interval,symbol,endpoint,path,fetched_at
2025-07-22 06:00:00+00:00,1032329514.0,1048768654.0,995246799.0,1030294105.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:30:07.383443+00:00
2025-07-22 12:00:00+00:00,1030294105.0,1037575044.0,1007156788.0,1021368415.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:30:07.383443+00:00
2025-07-22 18:00:00+00:00,1021368415.0,1049711387.0,1007464351.0,1049074643.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:30:07.383443+00:00
2025-07-23 00:00:00+00:00,1049074643.0,1063141426.0,1043567782.0,1047952680.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:30:07.383443+00:00
2025-07-23 06:00:00+00:00,1047952680.0,1047954822.0,1006401520.0,1012277416.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-23 12:00:00+00:00,1012277416.0,1013102828.0,936039322.0,941072510.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-23 18:00:00+00:00,941072510.0,952598528.0,922612744.0,943035789.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-24 00:00:00+00:00,943035789.0,954763992.0,900815484.0,906061173.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-24 06:00:00+00:00,906061173.0,938007172.0,883638788.0,934911066.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-24 12:00:00+00:00,934911066.0,961351029.0,920738159.0,952622013.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-24 18:00:00+00:00,952622013.0,958608013.0,911709470.0,913637136.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-25 00:00:00+00:00,913637136.0,915097649.0,885893990.0,904686945.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-25 06:00:00+00:00,904686945.0,962496308.0,893722548.0,957255564.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-25 12:00:00+00:00,957255564.0,963142166.0,890068462.0,897284136.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-25 18:00:00+00:00,897284136.0,946281575.0,896114218.0,937790396.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-26 00:00:00+00:00,937790396.0,949293227.0,931117880.0,937932391.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-26 06:00:00+00:00,937932391.0,950587305.0,930085431.0,939392955.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-26 12:00:00+00:00,939392955.0,952766959.0,936105947.0,941094673.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-26 18:00:00+00:00,941094673.0,964816170.0,937963543.0,957526259.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-27 00:00:00+00:00,957526259.0,1004227600.0,955685138.0,999327241.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-27 06:00:00+00:00,999327241.0,999327241.0,970608826.0,973435041.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-27 12:00:00+00:00,973435041.0,982793913.0,960804099.0,969346790.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-27 18:00:00+00:00,969346790.0,980023880.0,955089590.0,973719640.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-28 00:00:00+00:00,973719640.0,994398000.0,960125757.0,992261703.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-28 06:00:00+00:00,992261703.0,992472553.0,970326295.0,981035155.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-28 12:00:00+00:00,981035155.0,984351643.0,940791354.0,946888063.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-28 18:00:00+00:00,946888063.0,954947760.0,938323751.0,944567747.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-29 00:00:00+00:00,944567747.0,969544260.0,931034939.0,959801869.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-29 06:00:00+00:00,959801869.0,984154501.0,958960522.0,981223557.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-29 12:00:00+00:00,981223557.0,990762075.0,933082901.0,952296500.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-29 18:00:00+00:00,952296500.0,962676161.0,924017399.0,933875990.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-30 00:00:00+00:00,933875990.0,938470203.0,921200396.0,931516302.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-30 06:00:00+00:00,931516302.0,936229543.0,902291431.0,905649485.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-30 12:00:00+00:00,905649485.0,918378475.0,900816030.0,914036843.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-30 18:00:00+00:00,914036843.0,925267624.0,861930512.0,921802876.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-31 00:00:00+00:00,921802876.0,961721658.0,919511606.0,953421779.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-31 06:00:00+00:00,953421779.0,966439122.0,945027845.0,948272238.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-31 12:00:00+00:00,948272238.0,950386233.0,909486089.0,912270422.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-07-31 18:00:00+00:00,912270422.0,915352061.0,874293159.0,880191660.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-08-01 00:00:00+00:00,880191660.0,881244504.0,846398389.0,861476292.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-08-01 06:00:00+00:00,861476292.0,867994374.0,838462499.0,858784460.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-08-01 12:00:00+00:00,858784460.0,869843292.0,831057020.0,849450776.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-08-01 18:00:00+00:00,849450776.0,858505314.0,819019230.0,838712023.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-08-02 00:00:00+00:00,838712023.0,845880352.0,832971733.0,841459940.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-08-02 06:00:00+00:00,841459940.0,841463497.0,822574720.0,833734815.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-08-02 12:00:00+00:00,833734815.0,835282033.0,804665493.0,804943896.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-08-02 18:00:00+00:00,804943896.0,813723030.0,796672105.0,800797682.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-08-03 00:00:00+00:00,800797682.0,820875785.0,794717536.0,820875785.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-08-03 06:00:00+00:00,820875785.0,838426829.0,803905406.0,834683265.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-08-03 12:00:00+00:00,834683265.0,838357047.0,829208101.0,833904249.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-08-03 18:00:00+00:00,833904249.0,833904249.0,822765956.0,822765956.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
2025-08-04 00:00:00+00:00,822765956.0,835451506.0,821381548.0,824949059.0,v3,6h,LINK,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:58:30.814969+00:00
