ts,oi_open,oi_high,oi_low,oi_close,api_version,interval,symbol,endpoint,path,fetched_at
2025-07-22 06:00:00+00:00,2014153516.0,2046791907.0,1972251776.0,2009164866.0,v3,6h,SUI,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:31:42.709513+00:00
2025-07-22 12:00:00+00:00,2009164866.0,2047432736.0,1986677822.0,2019865027.0,v3,6h,SUI,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:31:42.709513+00:00
2025-07-22 18:00:00+00:00,2019865027.0,2085961956.0,2015457057.0,2081775837.0,v3,6h,SUI,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:31:42.709513+00:00
2025-07-23 00:00:00+00:00,2081775837.0,2092071009.0,2040932879.0,2083739482.0,v3,6h,SUI,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:31:42.709513+00:00
2025-07-23 06:00:00+00:00,2083739482.0,2086357708.0,2002419848.0,2022795784.0,v3,6h,SUI,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:00:08.355217+00:00
2025-07-23 12:00:00+00:00,2022795784.0,2022795784.0,1839366342.0,1878600560.0,v3,6h,SUI,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:00:08.355217+00:00
2025-07-23 18:00:00+00:00,1878600560.0,1892524187.0,1794035426.0,1856202203.0,v3,6h,SUI,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:00:08.355217+00:00
2025-07-24 00:00:00+00:00,1856202203.0,1917677828.0,1816016460.0,1816697242.0,v3,6h,SUI,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:00:08.355217+00:00
2025-07-24 06:00:00+00:00,1816697242.0,1879962619.0,1789317089.0,1875776520.0,v3,6h,SUI,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:00:08.355217+00:00
2025-07-24 12:00:00+00:00,1875776520.0,1922474501.0,1837225307.0,1892696706.0,v3,6h,SUI,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:00:08.355217+00:00
2025-07-24 18:00:00+00:00,1892696706.0,1900667971.0,1815094527.0,1826553221.0,v3,6h,SUI,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:00:08.355217+00:00
2025-07-25 00:00:00+00:00,1826553221.0,1829567062.0,1752898195.0,1762680255.0,v3,6h,SUI,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:00:08.355217+00:00
2025-07-25 06:00:00+00:00,1762680255.0,1873102197.0,1748387474.0,1860908022.0,v3,6h,SUI,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:19:21.406843+00:00
