ts,oi_open,oi_high,oi_low,oi_close,api_version,interval,symbol,endpoint,path,fetched_at
2025-07-22 06:00:00+00:00,493710459.0,521550107.0,492985034.0,512273700.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:30:55.517973+00:00
2025-07-22 12:00:00+00:00,512273700.0,515810585.0,504346075.0,508762293.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:30:55.517973+00:00
2025-07-22 18:00:00+00:00,508762293.0,544075440.0,508690256.0,541378341.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:30:55.517973+00:00
2025-07-23 00:00:00+00:00,541378341.0,552449381.0,539247686.0,550937847.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:30:55.517973+00:00
2025-07-23 06:00:00+00:00,550937847.0,555210051.0,538613120.0,540390009.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:59:17.679825+00:00
2025-07-23 12:00:00+00:00,540390009.0,540708202.0,490550603.0,493092354.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:59:17.679825+00:00
2025-07-23 18:00:00+00:00,493092354.0,507888353.0,487385755.0,506351436.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:59:17.679825+00:00
2025-07-24 00:00:00+00:00,506351436.0,517731765.0,486211857.0,486211857.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:59:17.679825+00:00
2025-07-24 06:00:00+00:00,486211857.0,504135685.0,482280896.0,500906607.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:59:17.679825+00:00
2025-07-24 12:00:00+00:00,500906607.0,515724491.0,499128879.0,514457540.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:59:17.679825+00:00
2025-07-24 18:00:00+00:00,514457540.0,516781761.0,503193190.0,503300287.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:59:17.679825+00:00
2025-07-25 00:00:00+00:00,503300287.0,504169857.0,483622656.0,487304535.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:59:17.679825+00:00
2025-07-25 06:00:00+00:00,487304535.0,502204267.0,483246554.0,485151408.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-25 12:00:00+00:00,485151408.0,501864077.0,483297891.0,499040385.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-25 18:00:00+00:00,499040385.0,500943056.0,483051789.0,495609074.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-26 00:00:00+00:00,495609074.0,503891795.0,495609074.0,500011796.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-26 06:00:00+00:00,500011796.0,505138836.0,490864375.0,491945343.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-26 12:00:00+00:00,491945343.0,503991881.0,491908443.0,503211631.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-26 18:00:00+00:00,503211631.0,503709686.0,496260052.0,501264743.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-27 00:00:00+00:00,501264743.0,506010513.0,499260006.0,502845698.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-27 06:00:00+00:00,502845698.0,508740518.0,502013268.0,505889669.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-27 12:00:00+00:00,505889669.0,505889669.0,490442739.0,490442739.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-27 18:00:00+00:00,490442739.0,508048404.0,489590832.0,492362250.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-28 00:00:00+00:00,492362250.0,499575456.0,490794766.0,496637593.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-28 06:00:00+00:00,496637593.0,509276145.0,496637593.0,508289860.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-28 12:00:00+00:00,508289860.0,522904459.0,499652000.0,499994375.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-28 18:00:00+00:00,499994375.0,500200953.0,482645555.0,491056320.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-29 00:00:00+00:00,491056320.0,518790720.0,489779242.0,517289588.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-29 06:00:00+00:00,517289588.0,663716610.0,515767654.0,595873815.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-29 12:00:00+00:00,595873815.0,605528581.0,571717718.0,580213783.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-29 18:00:00+00:00,580213783.0,585838609.0,567129659.0,585838609.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-30 00:00:00+00:00,585838609.0,589923786.0,576779416.0,580117937.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-30 06:00:00+00:00,580117937.0,580117937.0,535874368.0,536285187.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-30 12:00:00+00:00,536285187.0,538074703.0,495136360.0,495576159.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-30 18:00:00+00:00,495576159.0,502872757.0,489971159.0,499706626.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-31 00:00:00+00:00,499706626.0,502766429.0,495469268.0,495928863.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-31 06:00:00+00:00,495928863.0,507011310.0,489073456.0,507011310.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-31 12:00:00+00:00,507011310.0,507841677.0,488255273.0,495340567.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-07-31 18:00:00+00:00,495340567.0,499403028.0,482675943.0,483353555.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-01 00:00:00+00:00,483353555.0,498984539.0,481149868.0,489267494.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-01 06:00:00+00:00,489267494.0,499547549.0,483671088.0,499547549.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-01 12:00:00+00:00,499547549.0,508585402.0,494744118.0,497187011.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-01 18:00:00+00:00,497187011.0,505426620.0,490475560.0,493137983.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-02 00:00:00+00:00,493137983.0,516580562.0,492331446.0,514103043.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-02 06:00:00+00:00,514103043.0,514692495.0,498281755.0,502186075.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-02 12:00:00+00:00,502186075.0,510815974.0,484187672.0,484187672.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-02 18:00:00+00:00,484187672.0,488806916.0,481302971.0,482765274.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-03 00:00:00+00:00,482765274.0,492665245.0,479496140.0,491145933.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-03 06:00:00+00:00,491145933.0,506440783.0,488694807.0,497593362.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-03 12:00:00+00:00,497593362.0,498486821.0,485067745.0,489833750.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-03 18:00:00+00:00,489833750.0,494355589.0,488447213.0,493860865.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-04 00:00:00+00:00,493860865.0,497638406.0,491283289.0,495607733.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-04 06:00:00+00:00,495607733.0,504043437.0,495607733.0,503812556.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-04 12:00:00+00:00,503812556.0,512126503.0,502581191.0,506627186.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-04 18:00:00+00:00,506627186.0,518177013.0,506524889.0,511310329.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-05 00:00:00+00:00,511310329.0,523595343.0,510542381.0,521960490.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-05 06:00:00+00:00,521960490.0,522063983.0,510811921.0,513933834.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-05 12:00:00+00:00,513933834.0,515411088.0,501530070.0,508260784.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-05 18:00:00+00:00,508260784.0,519883165.0,507202228.0,519866659.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-06 00:00:00+00:00,519866659.0,523356040.0,511472193.0,513583732.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-06 06:00:00+00:00,513583732.0,530065591.0,513583732.0,529221664.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-06 12:00:00+00:00,529221664.0,530846431.0,523688549.0,529111229.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-06 18:00:00+00:00,529111229.0,553722538.0,529111229.0,550539199.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-07 00:00:00+00:00,550539199.0,557667108.0,550316829.0,557182626.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-07 06:00:00+00:00,557182626.0,561154461.0,546812631.0,547693965.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-07 12:00:00+00:00,547693965.0,568418815.0,547368764.0,565126199.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-07 18:00:00+00:00,565126199.0,569651131.0,546631925.0,551236082.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-08 00:00:00+00:00,551236082.0,552475083.0,544447051.0,550910104.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-08 06:00:00+00:00,550910104.0,551397143.0,542273812.0,544506901.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-08 12:00:00+00:00,544506901.0,554213059.0,543258289.0,549195694.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-08 18:00:00+00:00,548717548.0,549972105.0,540304044.0,540699089.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-09 00:00:00+00:00,540514480.0,541997436.0,530844960.0,531893914.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-09 06:00:00+00:00,532229654.0,534004112.0,526385384.0,527771950.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-09 12:00:00+00:00,528341548.0,528341548.0,521370143.0,523578146.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-09 18:00:00+00:00,524070094.0,528440249.0,522563920.0,522705919.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-10 00:00:00+00:00,523514411.0,541109811.0,522498587.0,534392685.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-10 06:00:00+00:00,533203780.0,540278561.0,524957088.0,538543214.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
2025-08-10 12:00:00+00:00,538134814.0,544763828.0,533663697.0,533663697.0,v3,6h,TRX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:18:40.680972+00:00
