ts,top_acct_ls_ratio,top_acct_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-07-22 06:00:00+00:00,1.36,57.68,v3,6h,TRX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:31:06.940796+00:00
2025-07-22 12:00:00+00:00,1.42,58.68,v3,6h,TRX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:31:06.940796+00:00
2025-07-22 18:00:00+00:00,1.41,58.48,v3,6h,TRX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:31:06.940796+00:00
2025-07-23 00:00:00+00:00,1.71,63.14,v3,6h,TRX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:31:06.940796+00:00
2025-07-23 06:00:00+00:00,1.86,65.0,v3,6h,TRX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:59:28.798902+00:00
2025-07-23 12:00:00+00:00,1.87,65.2,v3,6h,TRX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:59:28.798902+00:00
2025-07-23 18:00:00+00:00,1.74,63.46,v3,6h,TRX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:59:28.798902+00:00
2025-07-24 00:00:00+00:00,1.74,63.5,v3,6h,TRX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:59:28.798902+00:00
2025-07-24 06:00:00+00:00,1.52,60.36,v3,6h,TRX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:59:28.798902+00:00
2025-07-24 12:00:00+00:00,1.58,61.27,v3,6h,TRX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:59:28.798902+00:00
2025-07-24 18:00:00+00:00,1.64,62.17,v3,6h,TRX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:59:28.798902+00:00
2025-07-25 00:00:00+00:00,1.63,61.98,v3,6h,TRX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:59:28.798902+00:00
2025-07-25 06:00:00+00:00,1.64,62.06,v3,6h,TRX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:59:28.798902+00:00
2025-07-25 12:00:00+00:00,1.74,63.48,v3,6h,TRX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:59:28.798902+00:00
2025-07-25 18:00:00+00:00,1.75,63.68,v3,6h,TRX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:59:28.798902+00:00
2025-07-26 00:00:00+00:00,1.8,64.34,v3,6h,TRX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:59:28.798902+00:00
2025-07-26 06:00:00+00:00,1.82,64.59,v3,6h,TRX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:59:28.798902+00:00
2025-07-26 12:00:00+00:00,1.82,64.55,v3,6h,TRX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:59:28.798902+00:00
2025-07-26 18:00:00+00:00,1.82,64.47,v3,6h,TRX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:59:28.798902+00:00
