ts,top_pos_ls_ratio,top_pos_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-07-22 06:00:00+00:00,1.46,59.38,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:31:10.954257+00:00
2025-07-22 12:00:00+00:00,1.65,62.28,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:31:10.954257+00:00
2025-07-22 18:00:00+00:00,1.61,61.67,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:31:10.954257+00:00
2025-07-23 00:00:00+00:00,1.61,61.71,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:31:10.954257+00:00
2025-07-23 06:00:00+00:00,1.42,58.67,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:32.324268+00:00
2025-07-23 12:00:00+00:00,1.43,58.9,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:32.324268+00:00
2025-07-23 18:00:00+00:00,1.28,56.22,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:32.324268+00:00
2025-07-24 00:00:00+00:00,1.33,57.15,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:32.324268+00:00
2025-07-24 06:00:00+00:00,1.09,52.21,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:32.324268+00:00
2025-07-24 12:00:00+00:00,1.17,53.99,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:32.324268+00:00
2025-07-24 18:00:00+00:00,1.17,53.91,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:32.324268+00:00
2025-07-25 00:00:00+00:00,1.17,53.98,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:32.324268+00:00
2025-07-25 06:00:00+00:00,1.14,53.31,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:18:53.491274+00:00
2025-07-25 12:00:00+00:00,1.17,53.88,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:18:53.491274+00:00
2025-07-25 18:00:00+00:00,1.23,55.12,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:18:53.491274+00:00
2025-07-26 00:00:00+00:00,1.24,55.25,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:18:53.491274+00:00
2025-07-26 06:00:00+00:00,1.67,62.48,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:18:53.491274+00:00
2025-07-26 12:00:00+00:00,1.62,61.84,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:18:53.491274+00:00
2025-07-26 18:00:00+00:00,1.69,62.8,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:18:53.491274+00:00
2025-07-27 00:00:00+00:00,1.68,62.73,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:18:53.491274+00:00
2025-07-27 06:00:00+00:00,1.69,62.76,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:18:53.491274+00:00
2025-07-27 12:00:00+00:00,1.71,63.15,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:18:53.491274+00:00
2025-07-27 18:00:00+00:00,1.68,62.67,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:18:53.491274+00:00
2025-07-28 00:00:00+00:00,1.65,62.31,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:18:53.491274+00:00
2025-07-28 06:00:00+00:00,1.7,62.96,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:18:53.491274+00:00
2025-07-28 12:00:00+00:00,1.74,63.45,v3,6h,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:18:53.491274+00:00
