ts,top_acct_ls_ratio,top_acct_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-07-22 06:00:00+00:00,2.46,71.09,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:29:07.265392+00:00
2025-07-22 12:00:00+00:00,2.37,70.32,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:29:07.265392+00:00
2025-07-22 18:00:00+00:00,2.07,67.47,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:29:07.265392+00:00
2025-07-23 00:00:00+00:00,2.59,72.14,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:29:07.265392+00:00
2025-07-23 06:00:00+00:00,2.46,71.08,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:57:14.421184+00:00
2025-07-23 12:00:00+00:00,2.49,71.38,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:57:14.421184+00:00
2025-07-23 18:00:00+00:00,3.35,77.02,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:57:14.421184+00:00
2025-07-24 00:00:00+00:00,2.96,74.75,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:57:14.421184+00:00
2025-07-24 06:00:00+00:00,3.23,76.33,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:57:14.421184+00:00
2025-07-24 12:00:00+00:00,3.14,75.82,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:57:14.421184+00:00
2025-07-24 18:00:00+00:00,2.61,72.26,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:57:14.421184+00:00
2025-07-25 00:00:00+00:00,3.07,75.41,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:57:14.421184+00:00
2025-07-25 06:00:00+00:00,3.28,76.62,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:17:04.226242+00:00
2025-07-25 12:00:00+00:00,2.75,73.3,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:17:04.226242+00:00
2025-07-25 18:00:00+00:00,3.41,77.31,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:17:04.226242+00:00
2025-07-26 00:00:00+00:00,3.18,76.09,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:17:04.226242+00:00
2025-07-26 06:00:00+00:00,3.14,75.82,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:17:04.226242+00:00
2025-07-26 12:00:00+00:00,3.05,75.32,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:17:04.226242+00:00
2025-07-26 18:00:00+00:00,2.93,74.56,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:17:04.226242+00:00
2025-07-27 00:00:00+00:00,2.87,74.18,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:17:04.226242+00:00
2025-07-27 06:00:00+00:00,2.91,74.45,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:17:04.226242+00:00
2025-07-27 12:00:00+00:00,2.78,73.54,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:17:04.226242+00:00
2025-07-27 18:00:00+00:00,2.78,73.54,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:17:04.226242+00:00
2025-07-28 00:00:00+00:00,2.66,72.71,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:17:04.226242+00:00
2025-07-28 06:00:00+00:00,2.52,71.62,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:17:04.226242+00:00
2025-07-28 12:00:00+00:00,2.7,72.97,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:17:04.226242+00:00
2025-07-28 18:00:00+00:00,2.7,72.99,v3,6h,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:17:04.226242+00:00
