ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-04-28 12:00:00+00:00,151681015.7801,165062284.6067,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:03:21.281134+00:00
2025-04-29 00:00:00+00:00,90057908.6131,93362083.7875,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:03:21.281134+00:00
2025-04-29 12:00:00+00:00,120407754.6144,124464078.7079,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-04-30 00:00:00+00:00,57457951.8004,61572743.0283,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-04-30 12:00:00+00:00,138183446.0935,151350153.4475,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-01 00:00:00+00:00,89985939.4531,82066615.3505,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-01 12:00:00+00:00,120111379.0583,120117828.8398,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-02 00:00:00+00:00,109471688.0515,107237406.6238,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-02 12:00:00+00:00,118167115.1099,135412030.7579,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-03 00:00:00+00:00,61279924.738,63326709.9585,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-03 12:00:00+00:00,214832159.9433,208423909.6241,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-04 00:00:00+00:00,128192685.6366,134389059.9708,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-04 12:00:00+00:00,96305353.3774,117170078.5962,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-05 00:00:00+00:00,114745660.5992,124673327.2407,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-05 12:00:00+00:00,126218691.9648,135350835.3832,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-06 00:00:00+00:00,102542234.2944,110010037.0124,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-06 12:00:00+00:00,139677451.8977,133649423.7097,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-07 00:00:00+00:00,99435202.3643,103872322.8286,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-07 12:00:00+00:00,130864638.0184,138022426.1652,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-08 00:00:00+00:00,191297562.1357,188832220.7091,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-08 12:00:00+00:00,297006787.0443,263479619.2065,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-09 00:00:00+00:00,317653866.9403,340660496.0414,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-09 12:00:00+00:00,160730832.3413,162551092.3977,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-10 00:00:00+00:00,185942068.2991,188856769.8138,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-10 12:00:00+00:00,232858031.9363,228296593.5036,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-11 00:00:00+00:00,187402536.949,213147223.2223,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-11 12:00:00+00:00,145203048.0442,149669850.9924,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-12 00:00:00+00:00,203390405.7874,214717349.5168,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-12 12:00:00+00:00,351756835.7968,379445695.8092,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-13 00:00:00+00:00,160230434.3227,179144495.0839,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-13 12:00:00+00:00,205641194.5776,206076463.25,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-14 00:00:00+00:00,195596994.7152,201213359.4716,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-14 12:00:00+00:00,153609345.5033,169674734.3341,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-15 00:00:00+00:00,171754099.8485,192460466.1322,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-15 12:00:00+00:00,237435901.8971,258577310.4754,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-16 00:00:00+00:00,116451256.4645,119008847.7607,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-16 12:00:00+00:00,108553057.9208,115981773.7008,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-17 00:00:00+00:00,146065072.9453,157003286.992,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-17 12:00:00+00:00,139012027.2274,162680660.9878,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-18 00:00:00+00:00,77488550.3069,88178696.337,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-18 12:00:00+00:00,205574584.9702,227444029.7241,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-19 00:00:00+00:00,136706466.0795,163025182.2808,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-19 12:00:00+00:00,114694635.1134,127425587.5592,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-20 00:00:00+00:00,109572007.0114,113839859.6116,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-20 12:00:00+00:00,122120219.377,121607522.4897,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-21 00:00:00+00:00,127132126.5683,125127390.2077,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-21 12:00:00+00:00,212817982.6522,229328234.9116,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-22 00:00:00+00:00,148470216.3434,149554743.7801,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-22 12:00:00+00:00,99425198.4249,109071537.1765,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-23 00:00:00+00:00,207764775.8579,218315541.6421,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-23 12:00:00+00:00,208313313.1959,234035035.5083,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-24 00:00:00+00:00,93811555.4203,98059517.4408,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-24 12:00:00+00:00,64959627.6711,71239190.8871,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-25 00:00:00+00:00,96318641.9098,97588308.6533,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-25 12:00:00+00:00,116840617.6828,119542020.8455,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-26 00:00:00+00:00,92673622.7126,95318969.4152,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-26 12:00:00+00:00,85821508.1512,96032141.1298,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-27 00:00:00+00:00,96107608.9643,92516881.3177,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-27 12:00:00+00:00,101749359.649,105674528.0046,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-28 00:00:00+00:00,85023905.3936,86146723.0463,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-28 12:00:00+00:00,93068307.6549,107335561.3669,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-29 00:00:00+00:00,98417225.4131,98040467.588,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-29 12:00:00+00:00,115054009.2968,140848609.0472,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-30 00:00:00+00:00,150964752.6956,175166286.4511,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-30 12:00:00+00:00,147221219.1361,156714792.0445,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-31 00:00:00+00:00,152735491.6621,161626937.3075,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-05-31 12:00:00+00:00,88775866.6766,97810227.2736,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-06-01 00:00:00+00:00,109960631.7008,104255139.0936,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-06-01 12:00:00+00:00,93262167.8447,103166097.3494,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-06-02 00:00:00+00:00,98232993.0773,95812431.9102,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-06-02 12:00:00+00:00,99195958.9261,100575095.6639,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-06-03 00:00:00+00:00,87838346.3454,94201035.9359,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-06-03 12:00:00+00:00,110787337.0515,117880364.7833,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
2025-06-04 00:00:00+00:00,77206122.4789,81298980.215,v4,symbol_interval,12h,ADA,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:33.566117+00:00
