ts,open_basis,close_basis,open_change,close_change,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-04-28 00:00:00+00:00,-18.727,-15.1846,-139.05,-108.76,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-22T21:29:00.467152+00:00
2025-04-28 12:00:00+00:00,-15.1821,-12.0921,-108.74,-83.38,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-23T01:03:36.260623+00:00
2025-04-29 00:00:00+00:00,-12.0921,-13.5472,-83.38,-94.6,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-23T01:03:36.260623+00:00
2025-04-29 12:00:00+00:00,-13.5486,-11.2548,-94.61,-76.22,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-04-30 00:00:00+00:00,-11.2548,-12.6179,-76.22,-86.99,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-04-30 12:00:00+00:00,-12.6193,-15.7105,-87.0,-111.81,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-01 00:00:00+00:00,-15.7117,-15.4822,-111.82,-110.58,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-01 12:00:00+00:00,-15.48,-15.0882,-110.56,-106.55,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-02 00:00:00+00:00,-15.088,-16.5119,-106.55,-118.24,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-02 12:00:00+00:00,-16.5119,-17.2295,-118.24,-125.04,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-03 00:00:00+00:00,-17.2295,-17.1359,-125.04,-123.32,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-03 12:00:00+00:00,-17.1359,-16.2402,-123.32,-116.21,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-04 00:00:00+00:00,-16.2414,-16.8069,-116.22,-120.03,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-04 12:00:00+00:00,-16.8081,-18.5538,-120.04,-133.5,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-05 00:00:00+00:00,-18.5552,-15.8689,-133.51,-111.96,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-05 12:00:00+00:00,-15.8713,-17.1241,-111.98,-123.48,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-06 00:00:00+00:00,-17.1252,-17.5317,-123.49,-126.36,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-06 12:00:00+00:00,-17.5317,-16.0591,-126.36,-115.28,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-07 00:00:00+00:00,-16.0591,-15.7255,-115.28,-113.17,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-07 12:00:00+00:00,-15.7255,-12.2005,-113.17,-83.75,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-08 00:00:00+00:00,-12.2081,-12.8591,-83.81,-90.55,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-08 12:00:00+00:00,-12.8591,-5.4562,-90.55,-36.31,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-09 00:00:00+00:00,-5.4576,2.7849,-36.32,17.25,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-09 12:00:00+00:00,2.7717,-1.7735,17.17,-12.03,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-10 00:00:00+00:00,-1.7735,-4.1315,-12.03,-27.98,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-10 12:00:00+00:00,-4.1286,0.0256,-27.96,0.17,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-11 00:00:00+00:00,0.0241,-1.1829,0.16,-7.89,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-11 12:00:00+00:00,-1.1799,0.2124,-7.87,1.38,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-12 00:00:00+00:00,0.2108,0.6606,1.37,4.45,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-12 12:00:00+00:00,0.6576,-4.8753,4.43,-33.83,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-13 00:00:00+00:00,-4.8725,-4.854,-33.81,-33.32,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-13 12:00:00+00:00,-4.8526,-4.6653,-33.31,-32.5,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-14 00:00:00+00:00,-4.6668,-6.2873,-32.51,-44.26,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-14 12:00:00+00:00,-6.2859,-7.0728,-44.25,-49.66,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-15 00:00:00+00:00,-7.0728,-6.1357,-49.66,-42.71,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
2025-05-15 12:00:00+00:00,-6.1358,-5.3532,-42.71,-36.87,v4,symbol_interval,12h,BNB,basis,futures/basis/history,2026-04-24T04:21:03.328517+00:00
