ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-04-28 00:00:00+00:00,92249861.324,94874689.2197,v4,symbol_interval,12h,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-22T21:28:42.480402+00:00
2025-04-28 12:00:00+00:00,84205050.9308,90185182.1363,v4,symbol_interval,12h,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:03:14.555631+00:00
2025-04-29 00:00:00+00:00,111537185.1726,117308346.533,v4,symbol_interval,12h,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:03:14.555631+00:00
2025-04-29 12:00:00+00:00,93841150.1351,94942017.0601,v4,symbol_interval,12h,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:23.255985+00:00
2025-04-30 00:00:00+00:00,72327185.1841,85145156.9731,v4,symbol_interval,12h,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:23.255985+00:00
2025-04-30 12:00:00+00:00,113716299.0901,116224873.8288,v4,symbol_interval,12h,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:23.255985+00:00
2025-05-01 00:00:00+00:00,83632361.4891,89240012.863,v4,symbol_interval,12h,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:23.255985+00:00
2025-05-01 12:00:00+00:00,77539730.2531,78313452.6587,v4,symbol_interval,12h,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:23.255985+00:00
2025-05-02 00:00:00+00:00,80548163.0773,91597859.9603,v4,symbol_interval,12h,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:23.255985+00:00
2025-05-02 12:00:00+00:00,68487990.6313,67468402.5415,v4,symbol_interval,12h,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:23.255985+00:00
2025-05-03 00:00:00+00:00,54141977.5267,60964991.5093,v4,symbol_interval,12h,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:23.255985+00:00
2025-05-03 12:00:00+00:00,50266810.5267,53680190.5682,v4,symbol_interval,12h,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:23.255985+00:00
2025-05-04 00:00:00+00:00,73822610.3734,78440499.4974,v4,symbol_interval,12h,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:23.255985+00:00
2025-05-04 12:00:00+00:00,92433898.6497,112770420.8716,v4,symbol_interval,12h,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:23.255985+00:00
2025-05-05 00:00:00+00:00,124239400.6092,126780918.6062,v4,symbol_interval,12h,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:23.255985+00:00
2025-05-05 12:00:00+00:00,92847619.1467,95289057.1622,v4,symbol_interval,12h,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:23.255985+00:00
2025-05-06 00:00:00+00:00,101800583.0823,101630309.2157,v4,symbol_interval,12h,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:23.255985+00:00
2025-05-06 12:00:00+00:00,102188241.6121,98586271.1739,v4,symbol_interval,12h,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:23.255985+00:00
2025-05-07 00:00:00+00:00,106792166.4758,100909831.7116,v4,symbol_interval,12h,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:20:23.255985+00:00
