ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-04-28 00:00:00+00:00,2440827300,2462622300,2424348200,2431873300,v4,symbol_interval,12h,BTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-22T21:29:24.805474+00:00
2025-04-28 12:00:00+00:00,2431873300,2459239500,2418923700,2451738400,v4,symbol_interval,12h,BTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:04:33.334616+00:00
2025-04-29 00:00:00+00:00,2451738400,2461366500,2383362500,2396007300,v4,symbol_interval,12h,BTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:04:33.334616+00:00
2025-04-29 12:00:00+00:00,2396007300,2440767400,2387531700,2440074200,v4,symbol_interval,12h,BTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:35.564506+00:00
2025-04-30 00:00:00+00:00,2440074200,2440623400,2423225800,2424480400,v4,symbol_interval,12h,BTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:35.564506+00:00
2025-04-30 12:00:00+00:00,2424480400,2428227200,2360108000,2363235900,v4,symbol_interval,12h,BTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:35.564506+00:00
2025-05-01 00:00:00+00:00,2363235900,2363597600,2288914000,2355267500,v4,symbol_interval,12h,BTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:35.564506+00:00
2025-05-01 12:00:00+00:00,2355267500,2458458700,2354976200,2449842500,v4,symbol_interval,12h,BTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:35.564506+00:00
2025-05-02 00:00:00+00:00,2449842500,2464380800,2435531300,2443163900,v4,symbol_interval,12h,BTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:35.564506+00:00
2025-05-02 12:00:00+00:00,2443163900,2450222800,2394692800,2435086600,v4,symbol_interval,12h,BTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:35.564506+00:00
2025-05-03 00:00:00+00:00,2435086600,2435992400,2390876300,2424750400,v4,symbol_interval,12h,BTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:35.564506+00:00
2025-05-03 12:00:00+00:00,2424750400,2442186000,2383751300,2387269100,v4,symbol_interval,12h,BTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:35.564506+00:00
2025-05-04 00:00:00+00:00,2387269100,2389787200,2374607300,2380422500,v4,symbol_interval,12h,BTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:35.564506+00:00
2025-05-04 12:00:00+00:00,2380422500,2392876000,2359191900,2364394300,v4,symbol_interval,12h,BTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:35.564506+00:00
2025-05-05 00:00:00+00:00,2364394300,2424600900,2350779000,2394768000,v4,symbol_interval,12h,BTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:35.564506+00:00
2025-05-05 12:00:00+00:00,2394768000,2422955100,2377857300,2394964100,v4,symbol_interval,12h,BTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:35.564506+00:00
2025-05-06 00:00:00+00:00,2394964100,2438855300,2359184100,2418861200,v4,symbol_interval,12h,BTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:35.564506+00:00
2025-05-06 12:00:00+00:00,2418861200,2462115300,2412726600,2439350000,v4,symbol_interval,12h,BTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:35.564506+00:00
2025-05-07 00:00:00+00:00,2439350000,2442631200,2389173400,2396426200,v4,symbol_interval,12h,BTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:35.564506+00:00
