ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-04-28 00:00:00+00:00,4323561272.3935,4113531982.0872,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-22T21:28:20.262822+00:00
2025-04-28 12:00:00+00:00,4893374563.3543,5003196847.8385,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T01:02:49.169180+00:00
2025-04-29 00:00:00+00:00,3346915143.573,3075916774.3666,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T01:02:49.169180+00:00
2025-04-29 12:00:00+00:00,3712283648.6634,3875606406.0829,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-04-30 00:00:00+00:00,2346037532.1098,2185362122.1321,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-04-30 12:00:00+00:00,5742149958.7377,5817307738.3682,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-01 00:00:00+00:00,4015934238.6735,3369160247.3163,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-01 12:00:00+00:00,5254338438.8845,5085061586.0869,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-02 00:00:00+00:00,2422540484.3698,2543024978.738,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-02 12:00:00+00:00,4246347854.4808,4291252155.1112,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-03 00:00:00+00:00,1835327022.9896,1968192238.6709,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-03 12:00:00+00:00,1470892862.141,1596910801.5135,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-04 00:00:00+00:00,1996324242.2221,1983366838.3721,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-04 12:00:00+00:00,2397178591.5006,2611094639.0994,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-05 00:00:00+00:00,3292597935.9379,3501129258.949,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-05 12:00:00+00:00,4118655769.0495,3688469917.7204,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-06 00:00:00+00:00,2160843281.2565,2414425713.8819,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-06 12:00:00+00:00,6102280076.7161,5766455362.7418,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-07 00:00:00+00:00,3927315108.2464,3699031617.7235,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-07 12:00:00+00:00,5018515660.7755,5279967059.6599,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-08 00:00:00+00:00,6479313142.5186,5894633868.8787,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-08 12:00:00+00:00,10271045249.9776,9178537641.7222,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-09 00:00:00+00:00,5200638981.4585,5297748577.1685,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-09 12:00:00+00:00,3553916453.4562,3759236375.1115,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-10 00:00:00+00:00,2249573484.621,2479107295.706,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-10 12:00:00+00:00,3274571106.3908,2816924600.2062,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-11 00:00:00+00:00,3509488613.5243,3806029942.559,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-11 12:00:00+00:00,3478558450.8009,3692013946.7327,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-12 00:00:00+00:00,5747987040.5811,5775841278.9011,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-12 12:00:00+00:00,7232420415.4503,7795290769.6532,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-13 00:00:00+00:00,3436823556.4814,3411864644.6519,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-13 12:00:00+00:00,4909946514.1362,5024496178.3967,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-14 00:00:00+00:00,3048185621.8962,3096260133.1871,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-14 12:00:00+00:00,3335275714.0854,3588832888.0316,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-15 00:00:00+00:00,3349559987.7792,3411145398.9578,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-15 12:00:00+00:00,5638612720.5933,5710426621.0792,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-16 00:00:00+00:00,3069030110.696,2998071624.2293,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-16 12:00:00+00:00,2892399099.5098,3030412795.6547,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-17 00:00:00+00:00,3005683899.3056,3128947477.1463,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-17 12:00:00+00:00,1577659066.154,1603664048.4146,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-18 00:00:00+00:00,1768864593.8453,1590990083.1169,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-18 12:00:00+00:00,7640933701.9748,7123213271.69,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
2025-05-19 00:00:00+00:00,6427497183.8981,6957883630.4259,v4,symbol_interval,12h,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:40.606122+00:00
