ts,open_basis,close_basis,open_change,close_change,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-04-28 12:00:00+00:00,-57.6779,-56.7391,-0.24779,-0.23486,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-23T01:03:59.757690+00:00
2025-04-29 00:00:00+00:00,-56.7387,-56.2556,-0.23487,-0.23035,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-23T01:03:59.757690+00:00
2025-04-29 12:00:00+00:00,-56.2543,-55.6385,-0.23035,-0.21906,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-04-30 00:00:00+00:00,-55.6411,-56.2152,-0.21907,-0.22594,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-04-30 12:00:00+00:00,-56.2138,-58.4002,-0.22594,-0.2418,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-01 00:00:00+00:00,-58.3991,-56.3057,-0.24179,-0.23118,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-01 12:00:00+00:00,-56.3092,-55.5049,-0.2312,-0.22535,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-02 00:00:00+00:00,-55.5049,-55.1437,-0.22535,-0.2224,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-02 12:00:00+00:00,-55.1401,-55.6221,-0.22238,-0.2275,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-03 00:00:00+00:00,-55.621,-56.1209,-0.22749,-0.22775,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-03 12:00:00+00:00,-56.1185,-55.8749,-0.22774,-0.22241,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-04 00:00:00+00:00,-55.8735,-56.5038,-0.22241,-0.22623,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-04 12:00:00+00:00,-56.5049,-58.0508,-0.22624,-0.23593,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-05 00:00:00+00:00,-58.0543,-56.5276,-0.23595,-0.22234,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-05 12:00:00+00:00,-56.5287,-57.5414,-0.22235,-0.23123,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-06 00:00:00+00:00,-57.5414,-59.0894,-0.23123,-0.23881,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-06 12:00:00+00:00,-59.086,-56.2892,-0.23879,-0.22174,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-07 00:00:00+00:00,-56.2866,-55.4837,-0.22173,-0.21607,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-07 12:00:00+00:00,-55.4825,-51.9605,-0.21606,-0.18606,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-08 00:00:00+00:00,-51.9646,-49.9863,-0.18608,-0.18296,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-08 12:00:00+00:00,-49.9836,-36.9207,-0.18295,-0.11599,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-09 00:00:00+00:00,-36.9195,-22.1375,-0.11599,-0.05893,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-09 12:00:00+00:00,-22.1529,-35.3976,-0.05898,-0.11249,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-10 00:00:00+00:00,-35.3956,-33.8801,-0.11248,-0.11402,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-10 12:00:00+00:00,-33.8751,-21.7442,-0.114,-0.06964,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-11 00:00:00+00:00,-21.7497,-27.0683,-0.06966,-0.08693,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-11 12:00:00+00:00,-27.0683,-25.8113,-0.08693,-0.08065,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-12 00:00:00+00:00,-25.8137,-22.9495,-0.08066,-0.07216,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
2025-05-12 12:00:00+00:00,-22.9526,-28.8784,-0.07217,-0.0938,v4,symbol_interval,12h,DOGE,basis,futures/basis/history,2026-04-24T04:21:18.083516+00:00
