ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-04-28 12:00:00+00:00,1696294022,1706728131,1628769127,1642894013,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-23T01:04:21.056674+00:00
2025-04-29 00:00:00+00:00,1642894013,1683266090,1637196369,1676294079,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-23T01:04:21.056674+00:00
2025-04-29 12:00:00+00:00,1676294079,1695922341,1613095946,1647763657,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-04-30 00:00:00+00:00,1647763657,1701179637,1629155766,1665608527,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-04-30 12:00:00+00:00,1665608527,1689739490,1610092287,1616142433,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-01 00:00:00+00:00,1616142433,1632815342,1601051762,1630220882,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-01 12:00:00+00:00,1630220882,1722187254,1618012446,1720415968,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-02 00:00:00+00:00,1720415968,1731125396,1688506763,1701738034,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-02 12:00:00+00:00,1701738034,1711336043,1658932394,1679761009,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-03 00:00:00+00:00,1679761009,1735406780,1676684662,1700965832,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-03 12:00:00+00:00,1700965832,1705031328,1662946150,1671105222,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-04 00:00:00+00:00,1671105222,1681324938,1658282954,1661100464,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-04 12:00:00+00:00,1661100464,1662977096,1640877474,1655047536,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-05 00:00:00+00:00,1655047536,1666037677,1605007881,1649559666,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-05 12:00:00+00:00,1649559666,1672491486,1631543162,1634082191,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-06 00:00:00+00:00,1634082191,1703707648,1633719114,1684334243,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-06 12:00:00+00:00,1684334243,1697810557,1595963628,1603734462,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-07 00:00:00+00:00,1603734462,1639558098,1589350932,1633908953,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-07 12:00:00+00:00,1633908953,1647618752,1600273785,1630174944,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-08 00:00:00+00:00,1630174944,1792594958,1601301923,1779104051,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-08 12:00:00+00:00,1779104051,1896788243,1777195026,1853529870,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-09 00:00:00+00:00,1853529870,1968875930,1826878201,1868800629,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-09 12:00:00+00:00,1868800629,1910315944,1858772791,1871852534,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-10 00:00:00+00:00,1871852534,2033984851,1853203817,2012499909,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-10 12:00:00+00:00,2012499909,2108182313,1987235335,2105237978,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-11 00:00:00+00:00,2105237978,2222502108,2057802803,2111316433,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-11 12:00:00+00:00,2111316433,2112285462,2046479644,2048022181,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-12 00:00:00+00:00,2048022181,2050081310,1979776041,2011120317,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-12 12:00:00+00:00,2011120317,2106749551,1997387147,1999752635,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-13 00:00:00+00:00,1999752635,2020916177,1971273576,1974356474,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-13 12:00:00+00:00,1974356474,2001038205,1949225890,1985057305,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-14 00:00:00+00:00,1985057305,2067983369,1983000007,2021874870,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-14 12:00:00+00:00,2021874870,2028375515,1989143360,2008677108,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-15 00:00:00+00:00,2008677108,2011966435,1919008579,1922290622,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-15 12:00:00+00:00,1922290622,1936705873,1841761642,1843077012,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-16 00:00:00+00:00,1843077012,1919513152,1840258689,1899998311,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-16 12:00:00+00:00,1899998311,1902534648,1853125763,1863421786,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-17 00:00:00+00:00,1863421786,1872211774,1832053790,1841082279,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-17 12:00:00+00:00,1841082279,1848995174,1799560532,1810371540,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-18 00:00:00+00:00,1810371540,1863075090,1807411548,1857617846,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-18 12:00:00+00:00,1857617846,2002620719,1851703481,1880644244,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-19 00:00:00+00:00,1880644244,1906938750,1849011195,1859000057,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-19 12:00:00+00:00,1859000057,1868475705,1818441429,1819782524,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-20 00:00:00+00:00,1819782524,1856927384,1815616388,1829339908,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-20 12:00:00+00:00,1829339908,1833719063,1798449862,1824316355,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-21 00:00:00+00:00,1824316355,1950499167,1814989318,1894255859,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-21 12:00:00+00:00,1894255859,1944323872,1867835867,1941405983,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
2025-05-22 00:00:00+00:00,1941405983,2057258955,1941405983,2036650125,v4,symbol_interval,12h,DOGE,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:10.245296+00:00
