ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-04-28 12:00:00+00:00,14324880,14370650,13928460,13952410,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:04:44.556155+00:00
2025-04-29 00:00:00+00:00,13952410,14024980,13600910,13752700,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:04:44.556155+00:00
2025-04-29 12:00:00+00:00,13752700,13860300,13625400,13743600,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-04-30 00:00:00+00:00,13743600,13743600,13568100,13591400,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-04-30 12:00:00+00:00,13591400,14685600,13589490,14408290,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-01 00:00:00+00:00,14408290,14408290,13375430,13388340,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-01 12:00:00+00:00,13388340,13493540,13371730,13414830,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-02 00:00:00+00:00,13414830,13545590,13346520,13349470,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-02 12:00:00+00:00,13349470,13626890,13293240,13598010,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-03 00:00:00+00:00,13598010,13634980,13566090,13588880,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-03 12:00:00+00:00,13588880,13724960,13579830,13633370,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-04 00:00:00+00:00,13633370,14182950,13626590,14174490,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-04 12:00:00+00:00,14174490,14893870,14135150,14823110,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-05 00:00:00+00:00,14823110,14970010,14727340,14967410,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-05 12:00:00+00:00,14967410,15042860,14630850,14636650,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-06 00:00:00+00:00,14636650,14772750,14636650,14739970,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-06 12:00:00+00:00,14739970,14834570,14682770,14805650,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-07 00:00:00+00:00,14805650,14898190,14629330,14801330,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-07 12:00:00+00:00,14801330,14981030,14742040,14859290,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-08 00:00:00+00:00,14859290,15022420,14139670,14143190,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-08 12:00:00+00:00,14143190,14153830,13537760,13730220,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-09 00:00:00+00:00,13730220,14558000,13579020,14441690,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-09 12:00:00+00:00,14441690,14649960,14407390,14497550,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-10 00:00:00+00:00,14497550,14649720,14335120,14417820,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-10 12:00:00+00:00,14417820,14578870,13928080,13956400,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-11 00:00:00+00:00,13956400,14193230,13953550,14047600,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-11 12:00:00+00:00,14047600,14153000,13992630,14105260,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-12 00:00:00+00:00,14105260,14135670,13870580,14017240,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-12 12:00:00+00:00,14017240,14452490,13958120,14235410,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-13 00:00:00+00:00,14235410,14303070,14107690,14179410,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-13 12:00:00+00:00,14179410,14229680,13765250,13864690,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-14 00:00:00+00:00,13864690,14031900,13699490,13877850,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-14 12:00:00+00:00,13877850,14126660,13860970,13875550,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-15 00:00:00+00:00,13875550,14165470,13621770,14164790,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-15 12:00:00+00:00,14164790,14670710,14157130,14345950,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-16 00:00:00+00:00,14345950,14669850,14345950,14642930,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-16 12:00:00+00:00,14642930,14815550,14439920,14762320,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-17 00:00:00+00:00,14762320,15130080,14734550,15101600,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-17 12:00:00+00:00,15101600,15138450,14915970,14989670,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-18 00:00:00+00:00,14989670,15240960,14981880,15178380,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-18 12:00:00+00:00,15178380,15273630,14841360,14944980,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-19 00:00:00+00:00,14944980,15213960,14858900,15102840,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-19 12:00:00+00:00,15102840,15516200,14859840,14860120,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-20 00:00:00+00:00,14860120,14927890,14619550,14766280,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-20 12:00:00+00:00,14766280,15045580,14613960,14942310,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
2025-05-21 00:00:00+00:00,14942310,14985400,14678440,14833460,v4,symbol_interval,12h,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:22:56.902269+00:00
