ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-04-28 12:00:00+00:00,6139821.25,6273193.19,6079836.63,6271097.79,v4,symbol_interval,12h,LINK,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-23T01:04:22.706290+00:00
2025-04-29 00:00:00+00:00,6271097.79,6444819.27,6262470.32,6359777.92,v4,symbol_interval,12h,LINK,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-23T01:04:22.706290+00:00
2025-04-29 12:00:00+00:00,6359777.92,6368273.24,6177895.16,6265283.98,v4,symbol_interval,12h,LINK,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:16.160566+00:00
2025-04-30 00:00:00+00:00,6265283.98,6448075.12,6239828.01,6446100.99,v4,symbol_interval,12h,LINK,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:16.160566+00:00
2025-04-30 12:00:00+00:00,6446100.99,6481626.91,6327975.53,6339356.41,v4,symbol_interval,12h,LINK,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:16.160566+00:00
2025-05-01 00:00:00+00:00,6339356.41,6340206.37,6134448.83,6255604.24,v4,symbol_interval,12h,LINK,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:16.160566+00:00
2025-05-01 12:00:00+00:00,6255604.24,6629530.76,6255451.18,6626416.02,v4,symbol_interval,12h,LINK,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:16.160566+00:00
2025-05-02 00:00:00+00:00,6626416.02,6655316.67,6547999.62,6566187.13,v4,symbol_interval,12h,LINK,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:16.160566+00:00
2025-05-02 12:00:00+00:00,6566187.13,6645598.84,6473162.68,6632920.96,v4,symbol_interval,12h,LINK,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:16.160566+00:00
2025-05-03 00:00:00+00:00,6632920.96,6812601.29,6627042.63,6660063.38,v4,symbol_interval,12h,LINK,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:16.160566+00:00
2025-05-03 12:00:00+00:00,6660063.38,6661394.11,6537757.18,6639311.81,v4,symbol_interval,12h,LINK,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:16.160566+00:00
2025-05-04 00:00:00+00:00,6639311.81,6700790.11,6564095.68,6578707.04,v4,symbol_interval,12h,LINK,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:16.160566+00:00
2025-05-04 12:00:00+00:00,6578707.04,6602829.09,6517512.71,6576705.35,v4,symbol_interval,12h,LINK,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:16.160566+00:00
2025-05-05 00:00:00+00:00,6576705.35,6722624.94,6546384.11,6657604.31,v4,symbol_interval,12h,LINK,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:16.160566+00:00
2025-05-05 12:00:00+00:00,6657604.31,6916420.82,6648803.72,6720647.85,v4,symbol_interval,12h,LINK,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:16.160566+00:00
2025-05-06 00:00:00+00:00,6720647.85,6851319.86,6715401.33,6819659.26,v4,symbol_interval,12h,LINK,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:16.160566+00:00
2025-05-06 12:00:00+00:00,6819659.26,6881298.36,6680296.26,6780652.99,v4,symbol_interval,12h,LINK,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:22:16.160566+00:00
