ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-04-28 00:00:00+00:00,-0.001188,0.006718,-0.004627,0.005151,v4,symbol_interval,12h,SOL,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-22T21:30:08.840021+00:00
2025-04-28 12:00:00+00:00,0.005151,0.005151,-0.013289,-0.010507,v4,symbol_interval,12h,SOL,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T01:05:23.813031+00:00
2025-04-29 00:00:00+00:00,-0.010507,0.005262,-0.013969,0.005262,v4,symbol_interval,12h,SOL,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T01:05:23.813031+00:00
2025-04-29 12:00:00+00:00,0.005262,0.006264,-0.003293,-0.003293,v4,symbol_interval,12h,SOL,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:24:01.285504+00:00
2025-04-30 00:00:00+00:00,-0.003293,-0.000771,-0.011198,-0.001513,v4,symbol_interval,12h,SOL,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:24:01.285504+00:00
2025-04-30 12:00:00+00:00,-0.001513,0.006023,-0.010475,0.006023,v4,symbol_interval,12h,SOL,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:24:01.285504+00:00
2025-05-01 00:00:00+00:00,0.006023,0.007876,0.002836,0.002836,v4,symbol_interval,12h,SOL,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:24:01.285504+00:00
2025-05-01 12:00:00+00:00,0.002836,0.005199,-0.001485,0.002572,v4,symbol_interval,12h,SOL,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:24:01.285504+00:00
2025-05-02 00:00:00+00:00,0.002572,0.002572,-0.004626,-0.004418,v4,symbol_interval,12h,SOL,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:24:01.285504+00:00
2025-05-02 12:00:00+00:00,-0.004418,0.001572,-0.005467,-0.005435,v4,symbol_interval,12h,SOL,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:24:01.285504+00:00
2025-05-03 00:00:00+00:00,-0.005435,0.002161,-0.007717,-0.001735,v4,symbol_interval,12h,SOL,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:24:01.285504+00:00
2025-05-03 12:00:00+00:00,-0.001735,0.002722,-0.004638,0.002488,v4,symbol_interval,12h,SOL,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:24:01.285504+00:00
