ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-04-28 00:00:00+00:00,989093426.6683,998257957.1368,v4,symbol_interval,12h,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-22T21:28:30.556239+00:00
2025-04-28 12:00:00+00:00,770143916.0682,795979071.468,v4,symbol_interval,12h,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T01:02:54.653497+00:00
2025-04-29 00:00:00+00:00,534681808.7003,541606638.3634,v4,symbol_interval,12h,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T01:02:54.653497+00:00
2025-04-29 12:00:00+00:00,677365993.4605,739608704.1111,v4,symbol_interval,12h,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:49.157603+00:00
2025-04-30 00:00:00+00:00,443563203.1163,448680535.5935,v4,symbol_interval,12h,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:49.157603+00:00
2025-04-30 12:00:00+00:00,1088774596.139,1184712835.4225,v4,symbol_interval,12h,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:49.157603+00:00
2025-05-01 00:00:00+00:00,676203589.4082,630799713.6282,v4,symbol_interval,12h,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:49.157603+00:00
2025-05-01 12:00:00+00:00,747762847.962,772162127.5976,v4,symbol_interval,12h,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:49.157603+00:00
2025-05-02 00:00:00+00:00,475931985.6032,458955466.0286,v4,symbol_interval,12h,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:49.157603+00:00
2025-05-02 12:00:00+00:00,642707095.0988,700751004.7452,v4,symbol_interval,12h,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:49.157603+00:00
2025-05-03 00:00:00+00:00,329839378.5169,360500095.3807,v4,symbol_interval,12h,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:49.157603+00:00
2025-05-03 12:00:00+00:00,408066871.8847,402110121.586,v4,symbol_interval,12h,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:49.157603+00:00
2025-05-04 00:00:00+00:00,387631809.0127,434096166.0402,v4,symbol_interval,12h,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:49.157603+00:00
2025-05-04 12:00:00+00:00,469516142.4911,485372817.0914,v4,symbol_interval,12h,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:49.157603+00:00
