ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-04-28 12:00:00+00:00,17371030,18257760,17126360,18019540,v4,symbol_interval,12h,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:04:52.187167+00:00
2025-04-29 00:00:00+00:00,18019540,18177620,17434440,17499160,v4,symbol_interval,12h,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:04:52.187167+00:00
2025-04-29 12:00:00+00:00,17499160,18431020,16979210,17073690,v4,symbol_interval,12h,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:23:08.609157+00:00
2025-04-30 00:00:00+00:00,17073690,17245320,16960590,17233100,v4,symbol_interval,12h,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:23:08.609157+00:00
2025-04-30 12:00:00+00:00,17233100,18394080,17157550,17556700,v4,symbol_interval,12h,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:23:08.609157+00:00
2025-05-01 00:00:00+00:00,17556700,17661320,17262900,17486920,v4,symbol_interval,12h,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:23:08.609157+00:00
2025-05-01 12:00:00+00:00,17486920,17909460,17033460,17909460,v4,symbol_interval,12h,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:23:08.609157+00:00
2025-05-02 00:00:00+00:00,17909460,18405530,17465100,17797270,v4,symbol_interval,12h,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:23:08.609157+00:00
2025-05-02 12:00:00+00:00,17797270,18808270,17707960,18627050,v4,symbol_interval,12h,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:23:08.609157+00:00
2025-05-03 00:00:00+00:00,18627050,18631790,18084100,18296120,v4,symbol_interval,12h,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:23:08.609157+00:00
2025-05-03 12:00:00+00:00,18296120,18436750,18199950,18257610,v4,symbol_interval,12h,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:23:08.609157+00:00
2025-05-04 00:00:00+00:00,18257610,18427290,17979220,18032560,v4,symbol_interval,12h,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:23:08.609157+00:00
2025-05-04 12:00:00+00:00,18032560,18299330,18014360,18055130,v4,symbol_interval,12h,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:23:08.609157+00:00
2025-05-05 00:00:00+00:00,18055130,18288420,17780310,17980620,v4,symbol_interval,12h,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:23:08.609157+00:00
2025-05-05 12:00:00+00:00,17980620,18403860,17608940,17723820,v4,symbol_interval,12h,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:23:08.609157+00:00
2025-05-06 00:00:00+00:00,17723820,18677920,17627640,18654030,v4,symbol_interval,12h,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:23:08.609157+00:00
2025-05-06 12:00:00+00:00,18654030,18925090,18508150,18753240,v4,symbol_interval,12h,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:23:08.609157+00:00
2025-05-07 00:00:00+00:00,18753240,18923270,18542420,18547780,v4,symbol_interval,12h,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:23:08.609157+00:00
2025-05-07 12:00:00+00:00,18547780,18787240,18402440,18769350,v4,symbol_interval,12h,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:23:08.609157+00:00
2025-05-08 00:00:00+00:00,18769350,18819740,18350830,18366460,v4,symbol_interval,12h,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:23:08.609157+00:00
