ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-04-28 12:00:00+00:00,22389696.806,23027741.0391,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T01:03:07.973948+00:00
2025-04-29 00:00:00+00:00,17892589.7011,18822363.8558,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T01:03:07.973948+00:00
2025-04-29 12:00:00+00:00,16061246.1821,19104385.8741,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-04-30 00:00:00+00:00,15558975.3867,15355703.1268,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-04-30 12:00:00+00:00,22539870.8289,22141414.4996,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-01 00:00:00+00:00,18634361.7159,15844646.7622,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-01 12:00:00+00:00,20313405.0121,24164034.7595,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-02 00:00:00+00:00,18265743.2329,17735881.9974,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-02 12:00:00+00:00,19060641.9483,16927384.2201,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-03 00:00:00+00:00,21682390.6758,23294664.8093,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-03 12:00:00+00:00,19978567.4872,22501010.749,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-04 00:00:00+00:00,23012202.4166,20919163.1463,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-04 12:00:00+00:00,13457553.853,15488537.8309,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-05 00:00:00+00:00,31097883.5586,29069195.3814,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-05 12:00:00+00:00,18421215.5897,19449726.7198,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-06 00:00:00+00:00,19916294.8321,25697325.3203,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-06 12:00:00+00:00,20431991.4251,18350892.683,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-07 00:00:00+00:00,21375769.5082,20687835.683,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-07 12:00:00+00:00,21746423.6492,21645951.5015,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-08 00:00:00+00:00,29205239.7687,23595133.0653,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-08 12:00:00+00:00,56312598.1085,45160191.3706,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-09 00:00:00+00:00,71087019.1576,58083021.2971,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-09 12:00:00+00:00,40917199.3952,52268082.335,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-10 00:00:00+00:00,41603070.5531,47251711.0279,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-10 12:00:00+00:00,30609516.1735,27499687.796,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-11 00:00:00+00:00,46345003.4533,56121397.2985,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-11 12:00:00+00:00,28347782.0551,28474713.8153,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-12 00:00:00+00:00,62610230.2438,62629326.743,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-12 12:00:00+00:00,101697650.2843,109558178.7479,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-13 00:00:00+00:00,50407358.4381,60540020.718,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-13 12:00:00+00:00,37270349.4646,34479872.7363,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-14 00:00:00+00:00,44285967.4975,46278087.0401,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-14 12:00:00+00:00,43797513.9438,48633651.6017,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-15 00:00:00+00:00,40663874.0626,45377982.4684,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-15 12:00:00+00:00,55062963.9214,53336346.6499,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-16 00:00:00+00:00,34272176.4417,38372652.8343,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-16 12:00:00+00:00,25886227.2642,27024335.584,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-17 00:00:00+00:00,27233438.4289,31511672.9312,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-17 12:00:00+00:00,26800665.9298,27115508.9588,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-18 00:00:00+00:00,22849350.0816,19872225.9812,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-18 12:00:00+00:00,49727375.6672,57580264.4679,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-19 00:00:00+00:00,38462443.8002,41216172.6712,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
2025-05-19 12:00:00+00:00,20963448.313,19795412.2074,v4,symbol_interval,12h,TRX,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:20:07.522815+00:00
