ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-04-28 12:00:00+00:00,422422326.3303,457902404.069,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T01:02:57.016000+00:00
2025-04-29 00:00:00+00:00,289182636.3366,307235597.8023,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T01:02:57.016000+00:00
2025-04-29 12:00:00+00:00,298105462.625,340981055.5688,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-04-30 00:00:00+00:00,229482892.887,270690941.0777,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-04-30 12:00:00+00:00,552302326.0699,646886826.6722,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-01 00:00:00+00:00,234421087.6977,223688612.4616,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-01 12:00:00+00:00,267624762.8148,274837540.8544,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-02 00:00:00+00:00,210649856.7779,210085747.5773,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-02 12:00:00+00:00,252117548.4225,271744987.0323,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-03 00:00:00+00:00,132050602.4212,141463180.6263,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-03 12:00:00+00:00,177191205.7709,194986207.8503,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-04 00:00:00+00:00,195603326.0977,194537136.5674,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-04 12:00:00+00:00,201024928.9683,232100848.387,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-05 00:00:00+00:00,260236575.266,284874129.7876,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-05 12:00:00+00:00,321584941.1749,359458706.16,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-06 00:00:00+00:00,242117950.1864,271460229.2698,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-06 12:00:00+00:00,339344963.8773,320301839.0296,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-07 00:00:00+00:00,172921700.9981,177702551.0512,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-07 12:00:00+00:00,262982752.4968,275649734.7125,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-08 00:00:00+00:00,411903808.876,389230215.7045,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-08 12:00:00+00:00,709010770.1425,685296050.086,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-09 00:00:00+00:00,863210788.2341,886950627.0049,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-09 12:00:00+00:00,459867484.1652,497237838.4856,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-10 00:00:00+00:00,467322301.3256,472746166.3045,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-10 12:00:00+00:00,461366748.9892,465530527.163,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-11 00:00:00+00:00,485092219.5652,538381773.9827,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-11 12:00:00+00:00,314235141.3108,340720668.2703,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-12 00:00:00+00:00,674740431.5893,723846914.0794,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-12 12:00:00+00:00,1695847957.6294,1706090659.477,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-13 00:00:00+00:00,666361650.7037,727707540.652,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-13 12:00:00+00:00,601560887.8772,622425794.0457,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-14 00:00:00+00:00,712834626.8571,732849098.7813,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-14 12:00:00+00:00,407094249.6639,475923860.6423,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-15 00:00:00+00:00,438850791.3379,479684541.5476,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-15 12:00:00+00:00,726945837.4576,783139006.6986,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-16 00:00:00+00:00,454661315.511,454562142.0926,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-16 12:00:00+00:00,319408893.0086,338915537.989,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-17 00:00:00+00:00,330151498.5869,359199993.7813,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-17 12:00:00+00:00,305762911.3921,335577944.4466,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-18 00:00:00+00:00,192373853.6888,197389221.5323,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-18 12:00:00+00:00,509694708.2546,529635963.9712,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-19 00:00:00+00:00,455476362.856,502146020.4878,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-19 12:00:00+00:00,346764503.9581,357963669.1389,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-20 00:00:00+00:00,290309300.7501,296117714.759,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-20 12:00:00+00:00,317071884.9727,337122611.1898,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-21 00:00:00+00:00,312157482.5123,337251402.9368,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-21 12:00:00+00:00,622508205.1506,634630648.0468,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-22 00:00:00+00:00,410348729.0843,416396819.3015,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-22 12:00:00+00:00,235423993.0254,258484718.5605,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-23 00:00:00+00:00,499838994.4812,524451867.4105,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-23 12:00:00+00:00,498577913.3682,545396767.8014,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-24 00:00:00+00:00,185864795.6233,214119325.8434,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-24 12:00:00+00:00,122376638.4124,132470554.6877,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-25 00:00:00+00:00,226206846.628,262182742.2512,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-25 12:00:00+00:00,235483227.2197,249751646.6117,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-26 00:00:00+00:00,176873413.9751,182529831.9119,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-26 12:00:00+00:00,198335622.1083,219996046.2999,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-27 00:00:00+00:00,245075593.1505,264848570.7573,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-27 12:00:00+00:00,281249618.5238,287965368.7102,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-28 00:00:00+00:00,179598540.8573,187094821.5725,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-28 12:00:00+00:00,328499747.5288,414792686.7485,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-29 00:00:00+00:00,267445990.0755,265711961.3827,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-29 12:00:00+00:00,298558481.1285,322524428.8955,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-30 00:00:00+00:00,481816898.3285,546847554.6219,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
2025-05-30 12:00:00+00:00,408284090.7649,440537974.7919,v4,symbol_interval,12h,XRP,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:19:52.027711+00:00
