ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,9866930,9913120,9754300,9759040,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:07:42.532165+00:00
2023-07-30 00:00:00+00:00,9759040,9930820,9664820,9760590,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-07-31 00:00:00+00:00,9760590,9934240,9611040,9933680,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-01 00:00:00+00:00,9933680,10159900,9881080,9913460,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-02 00:00:00+00:00,9913460,10269160,9897830,10269160,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-03 00:00:00+00:00,10269160,10832560,10164290,10506410,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-04 00:00:00+00:00,10506410,10624700,10403050,10521920,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-05 00:00:00+00:00,10521920,10688720,10494420,10638510,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-06 00:00:00+00:00,10638510,10638510,10498700,10545600,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-07 00:00:00+00:00,10545600,11321420,10541390,10624910,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-08 00:00:00+00:00,10624910,10671620,10392860,10434390,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-09 00:00:00+00:00,10434390,10446250,10251260,10302110,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-10 00:00:00+00:00,10302110,10475590,10260510,10451300,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-11 00:00:00+00:00,10451300,11717930,10418650,11698410,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-12 00:00:00+00:00,11698410,11925070,10913110,11920060,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-13 00:00:00+00:00,11920060,12032910,11277130,11779110,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-14 00:00:00+00:00,11779110,12013830,10786900,10860640,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-15 00:00:00+00:00,10860640,10868170,10407250,10843570,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-16 00:00:00+00:00,10843570,11262330,10610280,10840320,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-17 00:00:00+00:00,10840320,10912640,9770590,9770590,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-18 00:00:00+00:00,9770590,9871670,9250690,9358580,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-19 00:00:00+00:00,9358580,9446700,9289770,9311160,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-20 00:00:00+00:00,9311160,9429940,9258320,9320250,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-21 00:00:00+00:00,9320250,9510800,9248790,9298340,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-22 00:00:00+00:00,9298340,9500130,9207390,9362050,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-23 00:00:00+00:00,9362050,9447300,8871740,8909910,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-24 00:00:00+00:00,8909910,8979920,8650230,8946760,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-25 00:00:00+00:00,8946760,9224200,8805160,9209720,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-26 00:00:00+00:00,9209720,9473800,9196160,9372920,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-27 00:00:00+00:00,9372920,9423460,9239190,9330320,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-28 00:00:00+00:00,9330320,9378600,9122050,9171560,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-29 00:00:00+00:00,9171560,9321840,8908880,8970120,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-30 00:00:00+00:00,8970120,9390700,8924930,9254360,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-08-31 00:00:00+00:00,9254360,9601210,9219380,9359950,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-01 00:00:00+00:00,9359950,9360110,8966360,9113700,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-02 00:00:00+00:00,9113700,9190450,9091070,9108570,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-03 00:00:00+00:00,9108570,9326240,9086640,9272680,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-04 00:00:00+00:00,9272680,9278200,9057430,9172190,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-05 00:00:00+00:00,9172190,9291190,9161060,9230590,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-06 00:00:00+00:00,9230590,10172980,9183140,10077760,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-07 00:00:00+00:00,10077760,10212030,10009600,10155860,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-08 00:00:00+00:00,10155860,10346570,10077270,10134530,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-09 00:00:00+00:00,10134530,10231880,10067800,10197770,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-10 00:00:00+00:00,10197770,10588410,10197770,10425810,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-11 00:00:00+00:00,10425810,10577240,10314080,10483920,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-12 00:00:00+00:00,10483920,10485330,10165030,10202600,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-13 00:00:00+00:00,10202600,10397420,10189960,10380830,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-14 00:00:00+00:00,10380830,10381910,9825070,9838050,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-15 00:00:00+00:00,9838050,9932750,9746530,9879820,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-16 00:00:00+00:00,9879820,9980150,9857200,9963040,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-17 00:00:00+00:00,9963040,10007240,9922480,10000370,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-18 00:00:00+00:00,10000370,10113590,9835560,9906090,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-19 00:00:00+00:00,9906090,9983360,9785800,9857990,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-20 00:00:00+00:00,9857990,10096180,9852630,10084640,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-21 00:00:00+00:00,10084640,10340630,10066110,10197780,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-22 00:00:00+00:00,10197780,10329280,10195810,10252980,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-23 00:00:00+00:00,10252980,10286880,10203940,10205560,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-24 00:00:00+00:00,10205560,10385230,10142930,10380130,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-25 00:00:00+00:00,10380130,10399060,10139860,10242890,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-26 00:00:00+00:00,10242890,10249530,10174350,10187310,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-27 00:00:00+00:00,10187310,10259590,10091260,10133390,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-28 00:00:00+00:00,10133390,10267960,10068080,10125540,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-29 00:00:00+00:00,10125540,10258260,10009620,10249570,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
2023-09-30 00:00:00+00:00,10249570,10266140,10107110,10128950,v4,symbol_interval,1d,ADA,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:15.791741+00:00
