ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-28 00:00:00+00:00,0.007429,0.012229,-0.001853,0.003749,v4,symbol_interval,1d,BNB,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-22T21:31:39.435812+00:00
2023-07-29 00:00:00+00:00,0.003749,0.01182,-0.001244,0.007395,v4,symbol_interval,1d,BNB,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-23T01:08:10.246630+00:00
2023-07-30 00:00:00+00:00,0.007395,0.017121,0.007395,0.010228,v4,symbol_interval,1d,BNB,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:41.142311+00:00
2023-07-31 00:00:00+00:00,0.010228,0.016907,-0.007021,0.004295,v4,symbol_interval,1d,BNB,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:41.142311+00:00
2023-08-01 00:00:00+00:00,0.004295,0.01257,-0.001342,0.000812,v4,symbol_interval,1d,BNB,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:41.142311+00:00
2023-08-02 00:00:00+00:00,0.000812,0.008239,-0.014476,0.005847,v4,symbol_interval,1d,BNB,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:41.142311+00:00
2023-08-03 00:00:00+00:00,0.005847,0.005847,-0.012624,-0.004279,v4,symbol_interval,1d,BNB,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:41.142311+00:00
2023-08-04 00:00:00+00:00,-0.004279,0.003743,-0.011314,-0.000681,v4,symbol_interval,1d,BNB,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:41.142311+00:00
2023-08-05 00:00:00+00:00,-0.000681,0.004548,-0.007077,0.000492,v4,symbol_interval,1d,BNB,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:41.142311+00:00
2023-08-06 00:00:00+00:00,0.000492,0.013216,-0.006454,-0.000466,v4,symbol_interval,1d,BNB,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:41.142311+00:00
2023-08-07 00:00:00+00:00,-0.000466,0.002706,-0.012693,-0.001375,v4,symbol_interval,1d,BNB,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:41.142311+00:00
