ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-28 00:00:00+00:00,92956657.1711,94717131.4324,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-22T21:30:38.899552+00:00
2023-07-29 00:00:00+00:00,42497581.5959,40988438.6817,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:06:17.471562+00:00
2023-07-30 00:00:00+00:00,135318603.0597,122821899.7661,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-07-31 00:00:00+00:00,115643677.6312,116378907.5976,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-01 00:00:00+00:00,342857586.515,338291776.4263,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-02 00:00:00+00:00,301655788.9705,325957950.5865,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-03 00:00:00+00:00,119923687.0942,123451841.5065,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-04 00:00:00+00:00,110492581.4205,114341330.9153,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-05 00:00:00+00:00,72335996.9045,69978838.5673,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-06 00:00:00+00:00,95063077.4448,89664623.0421,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-07 00:00:00+00:00,132655510.1895,144910543.2588,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-08 00:00:00+00:00,160668376.4482,140157653.3076,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-09 00:00:00+00:00,97016261.5376,109070114.7764,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-10 00:00:00+00:00,92720465.4985,107947027.2366,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-11 00:00:00+00:00,113585927.4048,127425530.953,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-12 00:00:00+00:00,47356548.4712,50834712.6638,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-13 00:00:00+00:00,44221899.0328,46284151.4782,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-14 00:00:00+00:00,58114160.4332,59816278.1868,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-15 00:00:00+00:00,118156403.4914,134941493.1274,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-16 00:00:00+00:00,158030917.2126,171661965.6256,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-17 00:00:00+00:00,310045949.1623,342420492.0473,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-18 00:00:00+00:00,220939560.4581,225800204.4374,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-19 00:00:00+00:00,104957622.1231,104563257.9488,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-20 00:00:00+00:00,55384335.3631,60923887.0076,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-21 00:00:00+00:00,272058103.8231,289543358.1626,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-22 00:00:00+00:00,316269278.1703,324929064.019,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-23 00:00:00+00:00,275501424.3159,269970542.8676,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-24 00:00:00+00:00,199063255.7669,177964537.399,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-25 00:00:00+00:00,159417893.6917,159458553.3458,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-26 00:00:00+00:00,54313491.0818,56202669.2501,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-27 00:00:00+00:00,74904395.6387,65909838.1814,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-28 00:00:00+00:00,111973772.2861,108168449.3075,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-29 00:00:00+00:00,283221735.7706,268244969.8083,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-30 00:00:00+00:00,102562743.1213,105393789.2718,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
2023-08-31 00:00:00+00:00,141147683.4459,150331451.2996,v4,symbol_interval,1d,BNB,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:20.653592+00:00
