ts,premium,premium_rate,coinbase_price,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-28 00:00:00+00:00,-7.85,-0.0269,29214.93,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-22T21:30:58.706038+00:00
2023-07-29 00:00:00+00:00,1.91,0.0065,29316.05,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-23T01:07:10.806675+00:00
2023-07-30 00:00:00+00:00,3.75,0.0128,29356.65,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-07-31 00:00:00+00:00,-0.68,-0.0023,29280.41,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-08-01 00:00:00+00:00,-1.65,-0.0056,29230.61,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-08-02 00:00:00+00:00,-6.74,-0.0227,29699.25,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-08-03 00:00:00+00:00,-22.13,-0.0758,29163.87,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-08-04 00:00:00+00:00,-18.81,-0.0644,29174.84,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-08-05 00:00:00+00:00,-36.96,-0.1269,29077.04,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-08-06 00:00:00+00:00,-24.8,-0.0853,29047.33,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-08-07 00:00:00+00:00,-48.42,-0.1665,29040.01,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
