ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-28 00:00:00+00:00,0.004852,0.011943,0.003227,0.009188,v4,symbol_interval,1d,BTC,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-22T21:31:29.468032+00:00
2023-07-29 00:00:00+00:00,0.009188,0.009188,0.000838,0.007629,v4,symbol_interval,1d,BTC,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-23T01:08:07.834470+00:00
2023-07-30 00:00:00+00:00,0.007629,0.009525,0.001299,0.002672,v4,symbol_interval,1d,BTC,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:35.524796+00:00
2023-07-31 00:00:00+00:00,0.002672,0.0097,0.002475,0.007372,v4,symbol_interval,1d,BTC,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:35.524796+00:00
2023-08-01 00:00:00+00:00,0.007372,0.011837,0.003171,0.011534,v4,symbol_interval,1d,BTC,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:35.524796+00:00
2023-08-02 00:00:00+00:00,0.011534,0.013526,0.008343,0.011421,v4,symbol_interval,1d,BTC,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:35.524796+00:00
2023-08-03 00:00:00+00:00,0.011421,0.014628,0.005329,0.011549,v4,symbol_interval,1d,BTC,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:35.524796+00:00
2023-08-04 00:00:00+00:00,0.011549,0.011803,0.004397,0.008068,v4,symbol_interval,1d,BTC,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:35.524796+00:00
2023-08-05 00:00:00+00:00,0.008068,0.012883,0.006679,0.011448,v4,symbol_interval,1d,BTC,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:35.524796+00:00
2023-08-06 00:00:00+00:00,0.011448,0.013044,0.004032,0.012937,v4,symbol_interval,1d,BTC,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:35.524796+00:00
2023-08-07 00:00:00+00:00,0.012937,0.012937,0.007054,0.011725,v4,symbol_interval,1d,BTC,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:35.524796+00:00
2023-08-08 00:00:00+00:00,0.011725,0.011725,0.001427,0.00663,v4,symbol_interval,1d,BTC,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:35.524796+00:00
2023-08-09 00:00:00+00:00,0.00663,0.011694,0.004733,0.011505,v4,symbol_interval,1d,BTC,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:35.524796+00:00
2023-08-10 00:00:00+00:00,0.011505,0.012327,0.005752,0.009588,v4,symbol_interval,1d,BTC,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:35.524796+00:00
2023-08-11 00:00:00+00:00,0.009588,0.012129,0.005784,0.01077,v4,symbol_interval,1d,BTC,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:35.524796+00:00
2023-08-12 00:00:00+00:00,0.01077,0.011323,0.007732,0.010087,v4,symbol_interval,1d,BTC,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:35.524796+00:00
2023-08-13 00:00:00+00:00,0.010087,0.012479,0.00653,0.012479,v4,symbol_interval,1d,BTC,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:35.524796+00:00
2023-08-14 00:00:00+00:00,0.012479,0.017521,0.00868,0.011903,v4,symbol_interval,1d,BTC,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:35.524796+00:00
2023-08-15 00:00:00+00:00,0.011903,0.014452,0.007488,0.011869,v4,symbol_interval,1d,BTC,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:35.524796+00:00
