ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-28 00:00:00+00:00,3289324515.9903,3195927210.9923,v4,symbol_interval,1d,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-22T21:30:18.865553+00:00
2023-07-29 00:00:00+00:00,1291770329.4734,1261204394.1891,v4,symbol_interval,1d,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T01:05:55.295171+00:00
2023-07-30 00:00:00+00:00,2436754937.9051,2534665052.6291,v4,symbol_interval,1d,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:41.017401+00:00
2023-07-31 00:00:00+00:00,3387957802.1238,3364589133.5451,v4,symbol_interval,1d,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:41.017401+00:00
2023-08-01 00:00:00+00:00,6450041198.5831,6401200117.9078,v4,symbol_interval,1d,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:41.017401+00:00
2023-08-02 00:00:00+00:00,7029413042.351,7452205582.5861,v4,symbol_interval,1d,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:41.017401+00:00
2023-08-03 00:00:00+00:00,3605738317.7003,3751712829.9667,v4,symbol_interval,1d,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:41.017401+00:00
2023-08-04 00:00:00+00:00,3240769335.1854,3440276322.9751,v4,symbol_interval,1d,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:41.017401+00:00
2023-08-05 00:00:00+00:00,1184357168.2724,1212532447.167,v4,symbol_interval,1d,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:41.017401+00:00
2023-08-06 00:00:00+00:00,1496130116.7518,1500802322.5857,v4,symbol_interval,1d,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:41.017401+00:00
2023-08-07 00:00:00+00:00,4321116559.5212,4321259712.3024,v4,symbol_interval,1d,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:41.017401+00:00
2023-08-08 00:00:00+00:00,7113605852.5759,6485677503.0527,v4,symbol_interval,1d,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:41.017401+00:00
2023-08-09 00:00:00+00:00,5306968033.9659,5449949861.4846,v4,symbol_interval,1d,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:41.017401+00:00
2023-08-10 00:00:00+00:00,3401445151.1235,3521198142.7368,v4,symbol_interval,1d,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:41.017401+00:00
2023-08-11 00:00:00+00:00,2600611749.9518,2664574438.1929,v4,symbol_interval,1d,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:41.017401+00:00
2023-08-12 00:00:00+00:00,847528024.3006,806578336.8413,v4,symbol_interval,1d,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:41.017401+00:00
2023-08-13 00:00:00+00:00,1177827495.3593,1295002117.3054,v4,symbol_interval,1d,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:41.017401+00:00
2023-08-14 00:00:00+00:00,4347418797.0388,4329699510.6818,v4,symbol_interval,1d,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:41.017401+00:00
2023-08-15 00:00:00+00:00,2719077508.7602,2885591173.3852,v4,symbol_interval,1d,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:41.017401+00:00
2023-08-16 00:00:00+00:00,3886073351.8689,4265963880.6956,v4,symbol_interval,1d,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:41.017401+00:00
2023-08-17 00:00:00+00:00,11130375280.6276,12761920718.5495,v4,symbol_interval,1d,BTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:41.017401+00:00
