ts,open_basis,close_basis,open_change,close_change,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,0.0389,0.0374,3e-05,3e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-23T01:07:00.255542+00:00
2023-07-30 00:00:00+00:00,0.0499,0.0513,4e-05,4e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-07-31 00:00:00+00:00,0.0641,0.0771,5e-05,6e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-08-01 00:00:00+00:00,0.09,0.0512,7e-05,4e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-08-02 00:00:00+00:00,0.0384,0.0539,3e-05,4e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-08-03 00:00:00+00:00,0.0539,0.0408,4e-05,3e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-08-04 00:00:00+00:00,0.0544,0.0681,4e-05,5e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-08-05 00:00:00+00:00,0.0681,0.0264,5e-05,2e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-08-06 00:00:00+00:00,0.0529,0.0269,4e-05,2e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-08-07 00:00:00+00:00,0.0269,0.0272,2e-05,2e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-08-08 00:00:00+00:00,0.0408,0.0267,3e-05,2e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-08-09 00:00:00+00:00,0.04,0.0265,3e-05,2e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-08-10 00:00:00+00:00,0.0398,0.0527,3e-05,4e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-08-11 00:00:00+00:00,0.0396,0.0661,3e-05,5e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-08-12 00:00:00+00:00,0.0661,0.0391,5e-05,3e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-08-13 00:00:00+00:00,0.0522,0.0803,4e-05,6e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-08-14 00:00:00+00:00,0.0803,0.0402,6e-05,3e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-08-15 00:00:00+00:00,0.0536,0.1129,4e-05,8e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-08-16 00:00:00+00:00,0.0847,0.0298,6e-05,2e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-08-17 00:00:00+00:00,0.0596,0.0656,4e-05,4e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-08-18 00:00:00+00:00,0.0656,0.0949,4e-05,6e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-08-19 00:00:00+00:00,0.0949,0.0627,6e-05,4e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-08-20 00:00:00+00:00,0.0471,0.0784,3e-05,5e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-08-21 00:00:00+00:00,0.0627,0.064,4e-05,4e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
2023-08-22 00:00:00+00:00,0.08,0.0639,5e-05,4e-05,v4,symbol_interval,1d,DOGE,basis,futures/basis/history,2026-04-24T04:26:06.084838+00:00
