ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,0.007238,0.016219,-0.000737,0.007848,v4,symbol_interval,1d,DOGE,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-23T01:08:17.521458+00:00
2023-07-30 00:00:00+00:00,0.007848,0.020482,-0.000238,0.001007,v4,symbol_interval,1d,DOGE,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:52.442927+00:00
2023-07-31 00:00:00+00:00,0.001007,0.010381,-0.008049,0.004597,v4,symbol_interval,1d,DOGE,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:52.442927+00:00
2023-08-01 00:00:00+00:00,0.004597,0.016737,-0.002256,0.012642,v4,symbol_interval,1d,DOGE,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:52.442927+00:00
2023-08-02 00:00:00+00:00,0.012642,0.018175,0.000598,0.004809,v4,symbol_interval,1d,DOGE,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:52.442927+00:00
2023-08-03 00:00:00+00:00,0.004809,0.016749,-0.001376,0.00787,v4,symbol_interval,1d,DOGE,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:52.442927+00:00
2023-08-04 00:00:00+00:00,0.00787,0.012748,0.001419,0.00557,v4,symbol_interval,1d,DOGE,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:52.442927+00:00
2023-08-05 00:00:00+00:00,0.00557,0.017107,-0.005503,0.009974,v4,symbol_interval,1d,DOGE,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:52.442927+00:00
2023-08-06 00:00:00+00:00,0.009974,0.016622,0.004635,0.009547,v4,symbol_interval,1d,DOGE,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:52.442927+00:00
2023-08-07 00:00:00+00:00,0.009547,0.015615,-0.004399,0.00549,v4,symbol_interval,1d,DOGE,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:52.442927+00:00
2023-08-08 00:00:00+00:00,0.00549,0.014019,0.000234,0.008247,v4,symbol_interval,1d,DOGE,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:52.442927+00:00
2023-08-09 00:00:00+00:00,0.008247,0.014113,0.002625,0.013682,v4,symbol_interval,1d,DOGE,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:52.442927+00:00
