ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,0.006857,0.019006,-0.005399,0.007277,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T01:08:38.601834+00:00
2023-07-30 00:00:00+00:00,0.007277,0.024352,-0.001836,-0.000348,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
2023-07-31 00:00:00+00:00,-0.000348,0.010339,-0.012698,0.002891,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
2023-08-01 00:00:00+00:00,0.002891,0.020412,-0.006265,0.012284,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
2023-08-02 00:00:00+00:00,0.012284,0.021103,-0.005534,0.002169,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
2023-08-03 00:00:00+00:00,0.002169,0.019226,-0.008826,0.006111,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
2023-08-04 00:00:00+00:00,0.006111,0.014165,-0.00378,0.004395,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
2023-08-05 00:00:00+00:00,0.004395,0.019551,-0.005714,0.009355,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
2023-08-06 00:00:00+00:00,0.009355,0.019594,0.001576,0.008381,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
2023-08-07 00:00:00+00:00,0.008381,0.017003,-0.00443,0.002953,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
2023-08-08 00:00:00+00:00,0.002953,0.015065,-0.006571,0.007864,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
2023-08-09 00:00:00+00:00,0.007864,0.016344,-0.000562,0.015195,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
2023-08-10 00:00:00+00:00,0.015195,0.016056,0.004437,0.008086,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
2023-08-11 00:00:00+00:00,0.008086,0.016009,0.007596,0.01139,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
2023-08-12 00:00:00+00:00,0.01139,0.021753,0.003606,0.011144,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
2023-08-13 00:00:00+00:00,0.011144,0.01719,0.001301,0.010432,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
2023-08-14 00:00:00+00:00,0.010432,0.016082,-0.002907,0.004682,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
2023-08-15 00:00:00+00:00,0.004682,0.012829,-0.012467,-0.012035,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
2023-08-16 00:00:00+00:00,-0.012035,0.010624,-0.014026,0.002873,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
2023-08-17 00:00:00+00:00,0.002873,0.018989,-0.04009,-0.036018,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
2023-08-18 00:00:00+00:00,-0.036018,0.005538,-0.036018,-0.007596,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
2023-08-19 00:00:00+00:00,-0.007596,0.010789,-0.01488,-0.012632,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
2023-08-20 00:00:00+00:00,-0.012632,0.014397,-0.012632,-0.002357,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
2023-08-21 00:00:00+00:00,-0.002357,0.018431,-0.005245,-0.004677,v4,symbol_interval,1d,DOGE,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:26.399274+00:00
