ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,22590960,23174210,22380830,23128660,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:07:43.821599+00:00
2023-07-30 00:00:00+00:00,23128660,23881380,22947960,23379760,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-07-31 00:00:00+00:00,23379760,23712220,22665030,22990780,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-01 00:00:00+00:00,22990780,23064910,22483350,22569960,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-02 00:00:00+00:00,22569960,23701740,22569960,23305660,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-03 00:00:00+00:00,23305660,23642890,22882290,22920850,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-04 00:00:00+00:00,22920850,23180960,22910160,22967570,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-05 00:00:00+00:00,22967570,23076770,22657950,22973290,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-06 00:00:00+00:00,22973290,23025150,22609710,22771930,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-07 00:00:00+00:00,22771930,23224350,22553940,22748180,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-08 00:00:00+00:00,22748180,22923520,22492120,22693670,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-09 00:00:00+00:00,22693670,23214340,22682550,22798210,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-10 00:00:00+00:00,22798210,22866980,22535520,22754580,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-11 00:00:00+00:00,22754580,22812590,22434970,22456750,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-12 00:00:00+00:00,22456750,23350210,22293350,22962040,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-13 00:00:00+00:00,22962040,23154750,22640630,23060510,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-14 00:00:00+00:00,23060510,23759920,22943820,23668530,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-15 00:00:00+00:00,23668530,23844640,22288050,22461670,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-16 00:00:00+00:00,22461670,23066710,22135620,22388410,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-17 00:00:00+00:00,22388410,22857870,20736250,20759230,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-18 00:00:00+00:00,20759230,21314540,20303730,20462750,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-19 00:00:00+00:00,20462750,20868030,20446370,20677390,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-20 00:00:00+00:00,20677390,20993100,20493480,20642500,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-21 00:00:00+00:00,20642500,20993100,20554150,20809670,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-22 00:00:00+00:00,20809670,20958740,20570440,20785710,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-23 00:00:00+00:00,20785710,21677160,20751900,21114440,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-24 00:00:00+00:00,21114440,21480780,21114440,21364620,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-25 00:00:00+00:00,21364620,21373710,20983410,21138250,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-26 00:00:00+00:00,21138250,21224060,20892430,20955370,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-27 00:00:00+00:00,20955370,21258770,20955370,21192060,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-28 00:00:00+00:00,21192060,21259380,20966460,21016070,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-29 00:00:00+00:00,21016070,21646400,20848650,21559830,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-30 00:00:00+00:00,21559830,21813350,21349410,21380290,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-08-31 00:00:00+00:00,21380290,21499570,20712570,20827230,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-09-01 00:00:00+00:00,20827230,21034800,20759410,20893210,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-09-02 00:00:00+00:00,20893210,21280380,20753460,21169540,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-09-03 00:00:00+00:00,21169540,21315720,21084290,21301160,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-09-04 00:00:00+00:00,21301160,22185060,21204010,21204010,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-09-05 00:00:00+00:00,21204010,21300020,21060740,21162080,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-09-06 00:00:00+00:00,21162080,21345220,20980670,21002090,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-09-07 00:00:00+00:00,21002090,21170030,20931810,21151430,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-09-08 00:00:00+00:00,21151430,21275780,21061270,21179780,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-09-09 00:00:00+00:00,21179780,21340020,21080030,21340020,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-09-10 00:00:00+00:00,21340020,21765740,21318690,21536500,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-09-11 00:00:00+00:00,21536500,22025290,21525940,21616490,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-09-12 00:00:00+00:00,21616490,21745340,21425530,21743170,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-09-13 00:00:00+00:00,21743170,21962940,21643710,21912120,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
2023-09-14 00:00:00+00:00,21912120,21992280,21680580,21939730,v4,symbol_interval,1d,DOGE,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:18.583389+00:00
