ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,426800942.6555,424068818.6318,v4,symbol_interval,1d,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:06:26.716305+00:00
2023-07-30 00:00:00+00:00,389139476.0039,422259644.5696,v4,symbol_interval,1d,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:31.938623+00:00
2023-07-31 00:00:00+00:00,326286171.6447,336684988.1014,v4,symbol_interval,1d,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:31.938623+00:00
2023-08-01 00:00:00+00:00,310001478.9233,316882056.8252,v4,symbol_interval,1d,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:31.938623+00:00
2023-08-02 00:00:00+00:00,306010160.1214,341401651.8701,v4,symbol_interval,1d,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:31.938623+00:00
2023-08-03 00:00:00+00:00,280135974.4102,290723684.6395,v4,symbol_interval,1d,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:31.938623+00:00
2023-08-04 00:00:00+00:00,225958346.9647,240383690.8062,v4,symbol_interval,1d,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:31.938623+00:00
2023-08-05 00:00:00+00:00,385760288.5201,383652394.581,v4,symbol_interval,1d,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:31.938623+00:00
2023-08-06 00:00:00+00:00,215555631.0418,226196515.388,v4,symbol_interval,1d,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:31.938623+00:00
2023-08-07 00:00:00+00:00,247624179.3302,270927235.8586,v4,symbol_interval,1d,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:31.938623+00:00
2023-08-08 00:00:00+00:00,205624740.5994,207477117.5788,v4,symbol_interval,1d,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:31.938623+00:00
2023-08-09 00:00:00+00:00,182613190.854,187139524.5316,v4,symbol_interval,1d,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:31.938623+00:00
2023-08-10 00:00:00+00:00,251432561.5872,254139396.184,v4,symbol_interval,1d,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:31.938623+00:00
2023-08-11 00:00:00+00:00,127216947.5607,140574821.4835,v4,symbol_interval,1d,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:31.938623+00:00
2023-08-12 00:00:00+00:00,193942799.4121,193216143.3929,v4,symbol_interval,1d,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:31.938623+00:00
2023-08-13 00:00:00+00:00,145383588.9076,163083246.6551,v4,symbol_interval,1d,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:31.938623+00:00
2023-08-14 00:00:00+00:00,268088219.1165,279329716.8246,v4,symbol_interval,1d,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:31.938623+00:00
2023-08-15 00:00:00+00:00,241542348.5785,296344154.0532,v4,symbol_interval,1d,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:31.938623+00:00
