ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,386341076.1081,382650157.3678,v4,symbol_interval,1d,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T01:06:03.373941+00:00
2023-07-30 00:00:00+00:00,352207889.8211,381668414.1329,v4,symbol_interval,1d,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:58.091681+00:00
2023-07-31 00:00:00+00:00,295016043.7068,305324284.5152,v4,symbol_interval,1d,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:58.091681+00:00
2023-08-01 00:00:00+00:00,277347557.1967,282681691.2011,v4,symbol_interval,1d,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:58.091681+00:00
2023-08-02 00:00:00+00:00,273276808.9198,305572079.2417,v4,symbol_interval,1d,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:58.091681+00:00
2023-08-03 00:00:00+00:00,250448830.3694,260727081.0937,v4,symbol_interval,1d,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:58.091681+00:00
2023-08-04 00:00:00+00:00,203317456.1082,216698842.0664,v4,symbol_interval,1d,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:58.091681+00:00
2023-08-05 00:00:00+00:00,349096624.6618,347988438.6229,v4,symbol_interval,1d,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:58.091681+00:00
2023-08-06 00:00:00+00:00,194072847.9727,202881113.0881,v4,symbol_interval,1d,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:58.091681+00:00
2023-08-07 00:00:00+00:00,222850019.2368,244224287.2764,v4,symbol_interval,1d,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:58.091681+00:00
2023-08-08 00:00:00+00:00,185762938.5927,188894353.1108,v4,symbol_interval,1d,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:58.091681+00:00
2023-08-09 00:00:00+00:00,166656486.5785,170005338.4868,v4,symbol_interval,1d,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:58.091681+00:00
2023-08-10 00:00:00+00:00,228853916.0957,231760646.1582,v4,symbol_interval,1d,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:58.091681+00:00
2023-08-11 00:00:00+00:00,117886238.9617,130513182.955,v4,symbol_interval,1d,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:58.091681+00:00
2023-08-12 00:00:00+00:00,176449934.8059,175771526.6412,v4,symbol_interval,1d,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:58.091681+00:00
2023-08-13 00:00:00+00:00,131466122.4117,147703856.7196,v4,symbol_interval,1d,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:58.091681+00:00
2023-08-14 00:00:00+00:00,245685177.6579,254975426.8075,v4,symbol_interval,1d,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:58.091681+00:00
2023-08-15 00:00:00+00:00,212492810.5978,263009705.42,v4,symbol_interval,1d,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:58.091681+00:00
