ts,long_quantity,short_quantity,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-28 00:00:00+00:00,199829.31,7147.05,v4,symbol_interval,1d,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-22T21:32:03.680612+00:00
2023-07-29 00:00:00+00:00,199860.13,7152.11,v4,symbol_interval,1d,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-23T01:08:52.809445+00:00
2023-07-30 00:00:00+00:00,199896.25,7040.91,v4,symbol_interval,1d,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:28:45.919344+00:00
2023-07-31 00:00:00+00:00,199698.88,7104.2,v4,symbol_interval,1d,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:28:45.919344+00:00
2023-08-01 00:00:00+00:00,199659.93,7160.02,v4,symbol_interval,1d,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:28:45.919344+00:00
2023-08-02 00:00:00+00:00,201551.67,7466.25,v4,symbol_interval,1d,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:28:45.919344+00:00
2023-08-03 00:00:00+00:00,201600.16,7359.44,v4,symbol_interval,1d,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:28:45.919344+00:00
2023-08-04 00:00:00+00:00,202090.08,7262.48,v4,symbol_interval,1d,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:28:45.919344+00:00
2023-08-05 00:00:00+00:00,201578.81,7046.82,v4,symbol_interval,1d,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:28:45.919344+00:00
2023-08-06 00:00:00+00:00,201613.32,6989.53,v4,symbol_interval,1d,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:28:45.919344+00:00
2023-08-07 00:00:00+00:00,202688.83,7018.52,v4,symbol_interval,1d,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:28:45.919344+00:00
2023-08-08 00:00:00+00:00,202505.59,7179.77,v4,symbol_interval,1d,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:28:45.919344+00:00
2023-08-09 00:00:00+00:00,202766.8,7052.77,v4,symbol_interval,1d,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:28:45.919344+00:00
2023-08-10 00:00:00+00:00,202631.64,7003.88,v4,symbol_interval,1d,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:28:45.919344+00:00
2023-08-11 00:00:00+00:00,202623.19,6922.12,v4,symbol_interval,1d,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:28:45.919344+00:00
2023-08-12 00:00:00+00:00,202735.87,6898.87,v4,symbol_interval,1d,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:28:45.919344+00:00
2023-08-13 00:00:00+00:00,202617.07,6889.31,v4,symbol_interval,1d,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:28:45.919344+00:00
