ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-28 00:00:00+00:00,0.007882,0.00946,0.001761,0.007723,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-22T21:31:49.362115+00:00
2023-07-29 00:00:00+00:00,0.007723,0.008419,0.002441,0.007096,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T01:08:28.550886+00:00
2023-07-30 00:00:00+00:00,0.007096,0.007096,-0.003318,0.001105,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-07-31 00:00:00+00:00,0.001105,0.012227,-0.000975,0.011771,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-01 00:00:00+00:00,0.011771,0.017411,-0.009963,0.010395,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-02 00:00:00+00:00,0.010395,0.017906,0.002174,0.006452,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-03 00:00:00+00:00,0.006452,0.017704,0.002131,0.012678,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-04 00:00:00+00:00,0.012678,0.012678,0.002713,0.009043,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-05 00:00:00+00:00,0.009043,0.014505,0.004448,0.008983,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-06 00:00:00+00:00,0.008983,0.011474,0.00568,0.010479,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-07 00:00:00+00:00,0.010479,0.024663,0.009219,0.009257,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-08 00:00:00+00:00,0.009257,0.012028,-0.00255,0.004659,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-09 00:00:00+00:00,0.004659,0.013115,0.000845,0.011477,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-10 00:00:00+00:00,0.011477,0.017111,0.004163,0.006799,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-11 00:00:00+00:00,0.006799,0.010726,-0.002849,0.009108,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-12 00:00:00+00:00,0.009108,0.009108,0.00098,0.007879,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-13 00:00:00+00:00,0.007879,0.015554,0.001638,0.013142,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-14 00:00:00+00:00,0.013142,0.017862,0.000608,0.00782,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-15 00:00:00+00:00,0.00782,0.014265,0.005721,0.013203,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-16 00:00:00+00:00,0.013203,0.015529,0.008692,0.012548,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-17 00:00:00+00:00,0.012548,0.018803,-0.042436,-0.03195,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-18 00:00:00+00:00,-0.03195,0.011025,-0.03195,-0.002135,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-19 00:00:00+00:00,-0.002135,-0.001547,-0.014265,-0.010703,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-20 00:00:00+00:00,-0.010703,0.004702,-0.012305,-0.003291,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-21 00:00:00+00:00,-0.003291,0.004387,-0.008399,0.002542,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-22 00:00:00+00:00,0.002542,0.003838,-0.006855,-0.002845,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-23 00:00:00+00:00,-0.002845,0.004917,-0.006421,0.002074,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-24 00:00:00+00:00,0.002074,0.003347,-0.006728,-0.002094,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-25 00:00:00+00:00,-0.002094,0.005213,-0.008231,0.002746,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-26 00:00:00+00:00,0.002746,0.003876,-0.006644,0.000883,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-27 00:00:00+00:00,0.000883,0.005243,-0.003704,-0.000772,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-28 00:00:00+00:00,-0.000772,0.00926,-0.00481,0.003446,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-29 00:00:00+00:00,0.003446,0.009424,-0.005045,0.000105,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
2023-08-30 00:00:00+00:00,0.000105,0.007878,0.000105,0.002952,v4,symbol_interval,1d,ETH,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:12.267530+00:00
