ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-28 00:00:00+00:00,347238357.02,356682650.29,345524514.58,351949619.23,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-22T21:31:19.361046+00:00
2023-07-29 00:00:00+00:00,351949619.23,355504698.1,347565558.96,354551946.72,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:07:35.090973+00:00
2023-07-30 00:00:00+00:00,354551946.72,355483931.76,346041246.12,351577880.68,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
2023-07-31 00:00:00+00:00,351577880.68,353230244.1,342126858.97,350754374.83,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
2023-08-01 00:00:00+00:00,350754374.83,357020099.59,340847547.15,342513434.16,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
2023-08-02 00:00:00+00:00,342513434.16,344873381.22,335643483.98,337263286.94,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
2023-08-03 00:00:00+00:00,337263286.94,342649175.68,333849149.05,338736954.22,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
2023-08-04 00:00:00+00:00,338736954.22,348770905.94,335496927.87,344000486.29,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
2023-08-05 00:00:00+00:00,344000486.29,347323649.69,343018355.81,345870082.14,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
2023-08-06 00:00:00+00:00,345870082.14,348885140.57,342993252.14,343894851.57,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
2023-08-07 00:00:00+00:00,343894851.57,358633841.57,343735177.1,352694305.0,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
2023-08-08 00:00:00+00:00,352694305.0,357647535.0,348978851.59,353195659.05,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
2023-08-09 00:00:00+00:00,353195659.05,354102306.17,344650066.38,347451867.95,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
2023-08-10 00:00:00+00:00,347451867.95,357291151.73,346820964.76,353225704.74,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
2023-08-11 00:00:00+00:00,353225704.74,354240823.43,344194270.92,346913473.43,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
2023-08-12 00:00:00+00:00,346913473.43,348079788.74,344286748.5,344397161.28,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
2023-08-13 00:00:00+00:00,344397161.28,352640960.57,340965927.77,347070734.26,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
2023-08-14 00:00:00+00:00,347070734.26,350201170.48,343920344.53,346623450.41,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
2023-08-15 00:00:00+00:00,346623450.41,358760191.78,346581504.89,357671482.68,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
2023-08-16 00:00:00+00:00,357671482.68,368079566.29,354884585.79,365498681.39,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
2023-08-17 00:00:00+00:00,365498681.39,371500125.34,311013123.88,311340174.83,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
2023-08-18 00:00:00+00:00,311340174.83,312386346.15,290575646.54,290903481.42,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
2023-08-19 00:00:00+00:00,290903481.42,293338122.27,283281954.35,283802474.35,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
2023-08-20 00:00:00+00:00,283802474.35,284257193.88,276258167.74,276420884.61,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
2023-08-21 00:00:00+00:00,276420884.61,280419719.55,272840106.75,276596450.32,v4,symbol_interval,1d,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:04.162371+00:00
