ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-28 00:00:00+00:00,1558335282.4699,1537711957.5016,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-22T21:30:35.574468+00:00
2023-07-29 00:00:00+00:00,874586863.584,813561475.6646,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:06:15.897737+00:00
2023-07-30 00:00:00+00:00,1552510700.8725,1655145691.8168,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-07-31 00:00:00+00:00,1588420107.737,1617915556.8817,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-01 00:00:00+00:00,3259796866.8433,3247780707.0578,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-02 00:00:00+00:00,2760497375.3627,2934122800.7517,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-03 00:00:00+00:00,1907943861.9229,1944407484.594,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-04 00:00:00+00:00,2141468977.8812,2182135968.4337,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-05 00:00:00+00:00,715672669.296,691461323.6261,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-06 00:00:00+00:00,854103846.6934,911497944.8207,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-07 00:00:00+00:00,2438042525.5072,2502090347.0991,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-08 00:00:00+00:00,2645942393.11,2454616949.3689,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-09 00:00:00+00:00,1580112668.027,1570378619.8341,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-10 00:00:00+00:00,1331413901.6754,1385711181.5113,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-11 00:00:00+00:00,1183075270.5571,1237806811.4302,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-12 00:00:00+00:00,483471780.743,500191295.5422,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-13 00:00:00+00:00,912995797.3738,957584307.0587,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-14 00:00:00+00:00,1412598518.7855,1418492759.1646,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-15 00:00:00+00:00,1267830391.5618,1485186330.7892,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-16 00:00:00+00:00,1737895488.8516,1842670058.4099,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-17 00:00:00+00:00,6064266310.9529,6873694226.9282,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-18 00:00:00+00:00,3076566296.7745,3162149034.9528,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-19 00:00:00+00:00,1381906818.5499,1468489144.136,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-20 00:00:00+00:00,1167164581.2519,1213467657.6437,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-21 00:00:00+00:00,1761269619.1731,1830237244.0695,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-22 00:00:00+00:00,2724920171.7771,2851970391.2343,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-23 00:00:00+00:00,3024087568.8015,2908717477.9095,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-24 00:00:00+00:00,1769549836.6806,1799152003.4534,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-25 00:00:00+00:00,1965639078.7017,1930139261.0082,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-26 00:00:00+00:00,483065479.3355,517614221.0928,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-27 00:00:00+00:00,671469455.4296,648402517.3621,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-28 00:00:00+00:00,1766126927.1313,1743198770.2779,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-29 00:00:00+00:00,3903830345.1745,3777439742.5928,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-30 00:00:00+00:00,1637298376.052,1650810146.4925,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-08-31 00:00:00+00:00,2693010123.6752,2796245671.553,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-09-01 00:00:00+00:00,2090923125.5467,2139322405.7999,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-09-02 00:00:00+00:00,722652129.9145,754644433.6809,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-09-03 00:00:00+00:00,871749122.4429,846506081.2992,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-09-04 00:00:00+00:00,1109459393.4556,1115759263.4435,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-09-05 00:00:00+00:00,1465505532.8832,1444527451.7934,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-09-06 00:00:00+00:00,1872772763.0377,1837732805.1346,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-09-07 00:00:00+00:00,1620885843.7466,1556383246.9758,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-09-08 00:00:00+00:00,1438395281.1118,1492088276.5114,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-09-09 00:00:00+00:00,395903384.7215,392003671.9335,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-09-10 00:00:00+00:00,1482073148.0819,1579289364.9597,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
2023-09-11 00:00:00+00:00,3083990856.8352,3348647528.2871,v4,symbol_interval,1d,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:17.869982+00:00
