ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-28 00:00:00+00:00,1297560888.8551,1279168514.297,v4,symbol_interval,1d,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-22T21:30:21.894195+00:00
2023-07-29 00:00:00+00:00,728653365.1465,677008167.4683,v4,symbol_interval,1d,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T01:05:56.454051+00:00
2023-07-30 00:00:00+00:00,1251499550.8138,1336900878.4339,v4,symbol_interval,1d,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:43.869367+00:00
2023-07-31 00:00:00+00:00,1305915442.614,1342093756.0158,v4,symbol_interval,1d,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:43.869367+00:00
2023-08-01 00:00:00+00:00,2624935206.3805,2628827016.6007,v4,symbol_interval,1d,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:43.869367+00:00
2023-08-02 00:00:00+00:00,2169313462.0488,2329284910.1898,v4,symbol_interval,1d,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:43.869367+00:00
2023-08-03 00:00:00+00:00,1556339444.9456,1588957742.8477,v4,symbol_interval,1d,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:43.869367+00:00
2023-08-04 00:00:00+00:00,1746523508.2421,1765617041.0845,v4,symbol_interval,1d,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:43.869367+00:00
2023-08-05 00:00:00+00:00,596212794.5466,594115096.0053,v4,symbol_interval,1d,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:43.869367+00:00
2023-08-06 00:00:00+00:00,716376190.601,756659389.0167,v4,symbol_interval,1d,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:43.869367+00:00
