ts,open_basis,close_basis,open_change,close_change,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,0.0386,0.0383,0.003,0.003,v4,symbol_interval,1d,LINK,basis,futures/basis/history,2026-04-23T01:07:01.524806+00:00
2023-07-30 00:00:00+00:00,0.051,0.0662,0.004,0.005,v4,symbol_interval,1d,LINK,basis,futures/basis/history,2026-04-24T04:26:08.851063+00:00
2023-07-31 00:00:00+00:00,0.053,0.0133,0.004,0.001,v4,symbol_interval,1d,LINK,basis,futures/basis/history,2026-04-24T04:26:08.851063+00:00
2023-08-01 00:00:00+00:00,0.0663,0.0393,0.005,0.003,v4,symbol_interval,1d,LINK,basis,futures/basis/history,2026-04-24T04:26:08.851063+00:00
2023-08-02 00:00:00+00:00,0.0655,0.0408,0.005,0.003,v4,symbol_interval,1d,LINK,basis,futures/basis/history,2026-04-24T04:26:08.851063+00:00
2023-08-03 00:00:00+00:00,0.0272,0.0562,0.002,0.004,v4,symbol_interval,1d,LINK,basis,futures/basis/history,2026-04-24T04:26:08.851063+00:00
2023-08-04 00:00:00+00:00,0.0421,0.042,0.003,0.003,v4,symbol_interval,1d,LINK,basis,futures/basis/history,2026-04-24T04:26:08.851063+00:00
2023-08-05 00:00:00+00:00,0.056,0.0692,0.004,0.005,v4,symbol_interval,1d,LINK,basis,futures/basis/history,2026-04-24T04:26:08.851063+00:00
2023-08-06 00:00:00+00:00,0.0692,0.0564,0.005,0.004,v4,symbol_interval,1d,LINK,basis,futures/basis/history,2026-04-24T04:26:08.851063+00:00
2023-08-07 00:00:00+00:00,0.0564,-0.0273,0.004,-0.002,v4,symbol_interval,1d,LINK,basis,futures/basis/history,2026-04-24T04:26:08.851063+00:00
2023-08-08 00:00:00+00:00,0.041,0.1073,0.003,0.008,v4,symbol_interval,1d,LINK,basis,futures/basis/history,2026-04-24T04:26:08.851063+00:00
2023-08-09 00:00:00+00:00,0.0537,0.013,0.004,0.001,v4,symbol_interval,1d,LINK,basis,futures/basis/history,2026-04-24T04:26:08.851063+00:00
2023-08-10 00:00:00+00:00,0.013,0.0657,0.001,0.005,v4,symbol_interval,1d,LINK,basis,futures/basis/history,2026-04-24T04:26:08.851063+00:00
2023-08-11 00:00:00+00:00,0.0657,0.0534,0.005,0.004,v4,symbol_interval,1d,LINK,basis,futures/basis/history,2026-04-24T04:26:08.851063+00:00
2023-08-12 00:00:00+00:00,0.0534,0.0134,0.004,0.001,v4,symbol_interval,1d,LINK,basis,futures/basis/history,2026-04-24T04:26:08.851063+00:00
