ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,4137560,4393000,4129120,4393000,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:07:45.378031+00:00
2023-07-30 00:00:00+00:00,4393000,4567540,4083760,4563930,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-07-31 00:00:00+00:00,4563930,4588170,4060310,4439440,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-01 00:00:00+00:00,4439440,4827630,4432820,4699100,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-02 00:00:00+00:00,4699100,4909780,4628400,4864620,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-03 00:00:00+00:00,4864620,5342590,4811430,4891850,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-04 00:00:00+00:00,4891850,5660010,4891850,5372930,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-05 00:00:00+00:00,5372930,5548550,4975510,4978430,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-06 00:00:00+00:00,4978430,5202910,4959530,5157350,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-07 00:00:00+00:00,5157350,5373730,5041950,5043010,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-08 00:00:00+00:00,5043010,5318370,5029900,5169020,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-09 00:00:00+00:00,5169020,5237350,4338550,4340760,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-10 00:00:00+00:00,4340760,4469780,4240540,4394970,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-11 00:00:00+00:00,4394970,4722730,4392930,4522790,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-12 00:00:00+00:00,4522790,4665070,4513240,4592280,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-13 00:00:00+00:00,4592280,4811910,4578090,4806030,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-14 00:00:00+00:00,4806030,4849090,4476230,4612080,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-15 00:00:00+00:00,4612080,4844830,4584030,4832720,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-16 00:00:00+00:00,4832720,4932840,4665970,4751650,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-17 00:00:00+00:00,4751650,4986530,4582400,4744680,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-18 00:00:00+00:00,4744680,4809540,4580320,4702270,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-19 00:00:00+00:00,4702270,4800230,4692310,4800230,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-20 00:00:00+00:00,4800230,4830640,4777710,4817670,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-21 00:00:00+00:00,4817670,4834770,4650080,4679230,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-22 00:00:00+00:00,4679230,4847160,4600480,4827200,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-23 00:00:00+00:00,4827200,4923270,4653770,4713560,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-24 00:00:00+00:00,4713560,5285920,4703070,5123280,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-25 00:00:00+00:00,5123280,5409680,5111120,5163360,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-26 00:00:00+00:00,5163360,5383760,5120480,5303930,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-27 00:00:00+00:00,5303930,5304330,5125090,5218570,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-28 00:00:00+00:00,5218570,5793620,5211210,5486450,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-29 00:00:00+00:00,5486450,5657800,5434760,5434920,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-30 00:00:00+00:00,5434920,5762010,5427480,5688890,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-08-31 00:00:00+00:00,5688890,5689810,5499820,5583040,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-09-01 00:00:00+00:00,5583040,5725230,5462980,5715140,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
2023-09-02 00:00:00+00:00,5715140,5722980,5508670,5534440,v4,symbol_interval,1d,LINK,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:21.389688+00:00
