ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,78364154.9323,78789984.9331,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:06:27.891047+00:00
2023-07-30 00:00:00+00:00,120998155.8697,132611854.5179,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-07-31 00:00:00+00:00,117735057.5192,123800411.1298,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-01 00:00:00+00:00,153404621.4774,151610825.1269,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-02 00:00:00+00:00,157490833.9369,166271470.3576,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-03 00:00:00+00:00,131308405.3508,137244601.2245,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-04 00:00:00+00:00,125912741.9986,127609208.5384,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-05 00:00:00+00:00,66011307.7766,67671106.7273,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-06 00:00:00+00:00,62994863.8408,59659282.1779,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-07 00:00:00+00:00,144968139.1742,143030910.4742,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-08 00:00:00+00:00,187173830.1947,184517119.6875,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-09 00:00:00+00:00,227843562.2443,226317200.4445,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-10 00:00:00+00:00,117128020.5978,123883293.4936,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-11 00:00:00+00:00,76844559.6393,77819819.8657,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-12 00:00:00+00:00,48757416.3012,52267551.6032,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-13 00:00:00+00:00,76773030.2782,80458279.7162,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-14 00:00:00+00:00,121742980.8215,121147515.8278,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-15 00:00:00+00:00,132136178.2352,152044243.5709,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-16 00:00:00+00:00,133438472.9244,142711722.5914,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-17 00:00:00+00:00,173834656.4939,187024571.3522,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-18 00:00:00+00:00,104488307.4627,107518096.5661,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-19 00:00:00+00:00,45932047.0338,49299163.5426,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-20 00:00:00+00:00,32734402.4306,35109983.9142,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-21 00:00:00+00:00,78733092.3554,80188701.4317,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-22 00:00:00+00:00,101974612.0063,105622763.6287,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-23 00:00:00+00:00,98784348.4349,94633376.4185,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-24 00:00:00+00:00,77012751.2771,84467061.5923,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-25 00:00:00+00:00,83316400.1196,85647013.7959,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-26 00:00:00+00:00,34420411.5813,37131998.9355,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-27 00:00:00+00:00,33360388.4426,33585485.705,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-28 00:00:00+00:00,71005262.1237,77635733.6841,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-29 00:00:00+00:00,120675655.2902,124140087.614,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-30 00:00:00+00:00,68908189.5465,72373180.8358,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-08-31 00:00:00+00:00,89613230.8324,96598382.209,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-09-01 00:00:00+00:00,96440167.0424,98879362.5757,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-09-02 00:00:00+00:00,36133751.813,37477099.934,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-09-03 00:00:00+00:00,47608365.162,48756252.7764,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-09-04 00:00:00+00:00,64323870.9442,67109761.2415,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-09-05 00:00:00+00:00,60750328.2141,60866856.1561,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
2023-09-06 00:00:00+00:00,107194653.059,105212398.6216,v4,symbol_interval,1d,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:34.727640+00:00
