ts,open_basis,close_basis,open_change,close_change,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,0.0547,0.0424,0.05,0.04,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-23T01:07:06.482712+00:00
2023-07-30 00:00:00+00:00,0.0636,0.0639,0.06,0.06,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-07-31 00:00:00+00:00,0.0745,0.0759,0.07,0.07,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-01 00:00:00+00:00,0.0651,0.0319,0.06,0.03,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-02 00:00:00+00:00,0.0319,0.0686,0.03,0.06,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-03 00:00:00+00:00,0.0572,0.0606,0.05,0.05,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-04 00:00:00+00:00,0.0485,0.0243,0.04,0.02,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-05 00:00:00+00:00,0.0243,0.0722,0.02,0.06,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-06 00:00:00+00:00,0.0722,0.0485,0.06,0.04,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-07 00:00:00+00:00,0.0363,0.0364,0.03,0.03,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-08 00:00:00+00:00,0.0121,0.0597,0.01,0.05,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-09 00:00:00+00:00,0.0358,0.0357,0.03,0.03,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-10 00:00:00+00:00,0.0357,0.0602,0.03,0.05,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-11 00:00:00+00:00,0.0361,0.0479,0.03,0.04,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-12 00:00:00+00:00,0.0479,0.036,0.04,0.03,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-13 00:00:00+00:00,0.0479,0.0489,0.04,0.04,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-14 00:00:00+00:00,0.0611,0.0609,0.05,0.05,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-15 00:00:00+00:00,0.0609,0.0379,0.05,0.03,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-16 00:00:00+00:00,0.0505,0.0403,0.04,0.03,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-17 00:00:00+00:00,0.0537,0.0927,0.04,0.06,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-18 00:00:00+00:00,0.1082,0.0782,0.07,0.05,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-19 00:00:00+00:00,0.0939,0.1248,0.06,0.08,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-20 00:00:00+00:00,0.1092,0.0767,0.07,0.05,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-21 00:00:00+00:00,0.092,0.0747,0.06,0.05,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-22 00:00:00+00:00,0.0896,0.0309,0.06,0.02,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-23 00:00:00+00:00,0.0463,0.0762,0.03,0.05,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-24 00:00:00+00:00,0.061,0.0771,0.04,0.05,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-25 00:00:00+00:00,0.0617,0.0615,0.04,0.04,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-26 00:00:00+00:00,0.0461,0.0616,0.03,0.04,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-27 00:00:00+00:00,0.0462,0.0612,0.03,0.04,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-28 00:00:00+00:00,0.0459,0.0611,0.03,0.04,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-29 00:00:00+00:00,0.0458,0.0581,0.03,0.04,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-30 00:00:00+00:00,0.0436,0.0592,0.03,0.04,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-08-31 00:00:00+00:00,0.074,0.0783,0.05,0.05,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-09-01 00:00:00+00:00,0.047,0.0636,0.03,0.04,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-09-02 00:00:00+00:00,0.0477,0.0775,0.03,0.05,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-09-03 00:00:00+00:00,0.062,0.0783,0.04,0.05,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-09-04 00:00:00+00:00,0.0626,0.0471,0.04,0.03,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-09-05 00:00:00+00:00,0.0471,0.0792,0.03,0.05,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-09-06 00:00:00+00:00,0.0792,0.0477,0.05,0.03,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-09-07 00:00:00+00:00,0.0637,0.0471,0.04,0.03,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-09-08 00:00:00+00:00,0.0471,0.0799,0.03,0.05,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-09-09 00:00:00+00:00,0.0479,0.0635,0.03,0.04,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
2023-09-10 00:00:00+00:00,0.0635,0.0655,0.04,0.04,v4,symbol_interval,1d,LTC,basis,futures/basis/history,2026-04-24T04:26:17.384263+00:00
