ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,21846590,22206410,21756730,22206410,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:08:03.196960+00:00
2023-07-30 00:00:00+00:00,22206410,22347270,21060750,21333710,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-07-31 00:00:00+00:00,21333710,21520710,20775400,21179710,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-01 00:00:00+00:00,21179710,22000240,21002540,21299360,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-02 00:00:00+00:00,21299360,22290260,21143790,21576930,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-03 00:00:00+00:00,21576930,21698380,20277390,20432650,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-04 00:00:00+00:00,20432650,20580230,20092960,20342370,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-05 00:00:00+00:00,20342370,20733010,20322010,20576960,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-06 00:00:00+00:00,20576960,20591430,20116930,20583590,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-07 00:00:00+00:00,20583590,20878170,19939080,20474760,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-08 00:00:00+00:00,20474760,20744150,19818570,19842280,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-09 00:00:00+00:00,19842280,20058840,19667120,19679060,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-10 00:00:00+00:00,19679060,19757840,19367820,19547100,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-11 00:00:00+00:00,19547100,19748370,19315960,19332790,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-12 00:00:00+00:00,19332790,19657200,18840910,18888790,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-13 00:00:00+00:00,18888790,19122700,18734190,18910910,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-14 00:00:00+00:00,18910910,19272080,18754240,18814350,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-15 00:00:00+00:00,18814350,19176420,18458050,18493720,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-16 00:00:00+00:00,18493720,18634160,17610610,17762400,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-17 00:00:00+00:00,17762400,17827800,13067760,13072380,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-18 00:00:00+00:00,13072380,13135470,12382980,12405320,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-19 00:00:00+00:00,12405320,12728280,12358810,12608550,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-20 00:00:00+00:00,12608550,12625180,12421380,12510920,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-21 00:00:00+00:00,12510920,12514470,12055530,12255520,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-22 00:00:00+00:00,12255520,12498930,12123920,12339180,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-23 00:00:00+00:00,12339180,12536240,12071470,12187920,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-24 00:00:00+00:00,12187920,12321140,12025240,12207240,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-25 00:00:00+00:00,12207240,12516950,12053420,12193380,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-26 00:00:00+00:00,12193380,12689970,12153700,12549870,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-27 00:00:00+00:00,12549870,12559850,12372810,12500500,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-28 00:00:00+00:00,12500500,12747640,12432170,12602700,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-29 00:00:00+00:00,12602700,12624990,12166630,12328450,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-30 00:00:00+00:00,12328450,12425860,12031450,12350870,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-08-31 00:00:00+00:00,12350870,12442800,12029640,12351140,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-01 00:00:00+00:00,12351140,12440190,12084830,12358100,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-02 00:00:00+00:00,12358100,12535490,12207370,12470950,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-03 00:00:00+00:00,12470950,12561690,12174170,12334020,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-04 00:00:00+00:00,12334020,12398170,12155010,12248660,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-05 00:00:00+00:00,12248660,12853740,12248660,12819280,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-06 00:00:00+00:00,12819280,13000830,12462930,12738070,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-07 00:00:00+00:00,12738070,12855650,12595290,12733470,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-08 00:00:00+00:00,12733470,12930490,12523020,12614360,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-09 00:00:00+00:00,12614360,12699030,12556330,12630380,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-10 00:00:00+00:00,12630380,12961630,12388990,12869280,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-11 00:00:00+00:00,12869280,13259620,12550550,12703740,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-12 00:00:00+00:00,12703740,13001190,12653870,12866720,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-13 00:00:00+00:00,12866720,13104840,12573580,12997770,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-14 00:00:00+00:00,12997770,13522490,12865690,13428510,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-15 00:00:00+00:00,13428510,13866650,13307970,13782450,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-16 00:00:00+00:00,13782450,13999830,13572020,13731800,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-17 00:00:00+00:00,13731800,14256050,13730060,13879710,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-18 00:00:00+00:00,13879710,14399390,13789570,13794600,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-19 00:00:00+00:00,13794600,14253590,13770470,14136790,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-20 00:00:00+00:00,14136790,14787980,14046750,14500250,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-21 00:00:00+00:00,14500250,14775070,14258320,14468400,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-22 00:00:00+00:00,14468400,14710050,14048180,14060040,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-23 00:00:00+00:00,14060040,14123050,13666700,13740220,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-24 00:00:00+00:00,13740220,13959850,13690750,13878380,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-25 00:00:00+00:00,13878380,14250750,13807220,14101240,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-26 00:00:00+00:00,14101240,14257490,13695220,13802740,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-27 00:00:00+00:00,13802740,14698950,13727620,14241870,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-28 00:00:00+00:00,14241870,14358230,13980350,13987800,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
2023-09-29 00:00:00+00:00,13987800,13987800,13286800,13365170,v4,symbol_interval,1d,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:29.933708+00:00
