ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,199974234.7374,190750755.3993,v4,symbol_interval,1d,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:06:31.871007+00:00
2023-07-30 00:00:00+00:00,544428202.8337,566125622.6912,v4,symbol_interval,1d,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:43.207437+00:00
2023-07-31 00:00:00+00:00,310593828.1572,339988101.0149,v4,symbol_interval,1d,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:43.207437+00:00
2023-08-01 00:00:00+00:00,521144031.5888,539028765.2529,v4,symbol_interval,1d,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:43.207437+00:00
2023-08-02 00:00:00+00:00,650858270.4621,713889450.7167,v4,symbol_interval,1d,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:43.207437+00:00
2023-08-03 00:00:00+00:00,456775568.9625,507215193.1944,v4,symbol_interval,1d,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:43.207437+00:00
2023-08-04 00:00:00+00:00,376667252.2774,393012129.0214,v4,symbol_interval,1d,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:43.207437+00:00
2023-08-05 00:00:00+00:00,174856442.5784,172329600.7087,v4,symbol_interval,1d,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:43.207437+00:00
2023-08-06 00:00:00+00:00,151344127.7704,157803188.6502,v4,symbol_interval,1d,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:43.207437+00:00
2023-08-07 00:00:00+00:00,265772083.8012,265137803.7727,v4,symbol_interval,1d,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:43.207437+00:00
2023-08-08 00:00:00+00:00,271174512.5793,278111628.8619,v4,symbol_interval,1d,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:43.207437+00:00
2023-08-09 00:00:00+00:00,145201771.9445,147987170.8735,v4,symbol_interval,1d,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:43.207437+00:00
2023-08-10 00:00:00+00:00,120701867.2759,129389234.1478,v4,symbol_interval,1d,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:43.207437+00:00
2023-08-11 00:00:00+00:00,84858063.9934,85460741.9308,v4,symbol_interval,1d,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:43.207437+00:00
2023-08-12 00:00:00+00:00,59108239.2156,63127975.349,v4,symbol_interval,1d,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:43.207437+00:00
2023-08-13 00:00:00+00:00,101392642.9281,113711669.877,v4,symbol_interval,1d,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:43.207437+00:00
2023-08-14 00:00:00+00:00,110350560.1344,105040396.1337,v4,symbol_interval,1d,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:43.207437+00:00
2023-08-15 00:00:00+00:00,177953973.4163,204407524.1556,v4,symbol_interval,1d,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:43.207437+00:00
2023-08-16 00:00:00+00:00,294884572.7276,332622925.2597,v4,symbol_interval,1d,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:43.207437+00:00
2023-08-17 00:00:00+00:00,421177034.5971,477260068.5904,v4,symbol_interval,1d,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:43.207437+00:00
