ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-28 00:00:00+00:00,0.011294,0.013406,0.000371,0.010508,v4,symbol_interval,1d,SOL,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-22T21:31:42.814998+00:00
2023-07-29 00:00:00+00:00,0.010508,0.014899,0.005911,0.009072,v4,symbol_interval,1d,SOL,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-23T01:08:11.844060+00:00
2023-07-30 00:00:00+00:00,0.009072,0.012677,0.004315,0.009037,v4,symbol_interval,1d,SOL,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:43.999462+00:00
2023-07-31 00:00:00+00:00,0.009037,0.010775,-0.001133,0.009707,v4,symbol_interval,1d,SOL,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:43.999462+00:00
2023-08-01 00:00:00+00:00,0.009707,0.012304,-0.000406,0.005812,v4,symbol_interval,1d,SOL,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:43.999462+00:00
2023-08-02 00:00:00+00:00,0.005812,0.010763,-0.000109,0.003572,v4,symbol_interval,1d,SOL,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:43.999462+00:00
2023-08-03 00:00:00+00:00,0.003572,0.013806,0.000856,0.004312,v4,symbol_interval,1d,SOL,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:43.999462+00:00
2023-08-04 00:00:00+00:00,0.004312,0.013738,0.002413,0.011882,v4,symbol_interval,1d,SOL,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:43.999462+00:00
2023-08-05 00:00:00+00:00,0.011882,0.013036,0.003485,0.003761,v4,symbol_interval,1d,SOL,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:43.999462+00:00
2023-08-06 00:00:00+00:00,0.003761,0.015069,0.000439,0.010897,v4,symbol_interval,1d,SOL,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:43.999462+00:00
2023-08-07 00:00:00+00:00,0.010897,0.013732,0.0027,0.007475,v4,symbol_interval,1d,SOL,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:43.999462+00:00
2023-08-08 00:00:00+00:00,0.007475,0.014514,-0.003876,0.008324,v4,symbol_interval,1d,SOL,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:43.999462+00:00
2023-08-09 00:00:00+00:00,0.008324,0.016384,-0.006764,0.01406,v4,symbol_interval,1d,SOL,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:43.999462+00:00
2023-08-10 00:00:00+00:00,0.01406,0.014368,0.005715,0.007739,v4,symbol_interval,1d,SOL,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:43.999462+00:00
2023-08-11 00:00:00+00:00,0.007739,0.016634,0.000645,0.010418,v4,symbol_interval,1d,SOL,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:43.999462+00:00
2023-08-12 00:00:00+00:00,0.010418,0.01125,-0.002708,0.004054,v4,symbol_interval,1d,SOL,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:43.999462+00:00
2023-08-13 00:00:00+00:00,0.004054,0.014803,0.002064,0.011516,v4,symbol_interval,1d,SOL,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:43.999462+00:00
2023-08-14 00:00:00+00:00,0.011516,0.012908,0.00072,0.007539,v4,symbol_interval,1d,SOL,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:43.999462+00:00
2023-08-15 00:00:00+00:00,0.007539,0.013147,-0.004756,0.011224,v4,symbol_interval,1d,SOL,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:27:43.999462+00:00
