ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-28 00:00:00+00:00,4343700,4507840,4292450,4482760,v4,symbol_interval,1d,SOL,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-22T21:31:26.110857+00:00
2023-07-29 00:00:00+00:00,4482760,4482760,4250500,4337960,v4,symbol_interval,1d,SOL,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:07:39.311635+00:00
2023-07-30 00:00:00+00:00,4337960,4948360,4334080,4933440,v4,symbol_interval,1d,SOL,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:10.100208+00:00
2023-07-31 00:00:00+00:00,4933440,4940160,4570420,4718620,v4,symbol_interval,1d,SOL,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:10.100208+00:00
2023-08-01 00:00:00+00:00,4718620,5072220,4638890,4730000,v4,symbol_interval,1d,SOL,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:10.100208+00:00
2023-08-02 00:00:00+00:00,4730000,4893380,4344460,4552750,v4,symbol_interval,1d,SOL,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:10.100208+00:00
2023-08-03 00:00:00+00:00,4552750,4793550,4527370,4683230,v4,symbol_interval,1d,SOL,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:10.100208+00:00
2023-08-04 00:00:00+00:00,4683230,4683230,4273750,4409790,v4,symbol_interval,1d,SOL,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:10.100208+00:00
2023-08-05 00:00:00+00:00,4409790,4642720,4347400,4505820,v4,symbol_interval,1d,SOL,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:10.100208+00:00
2023-08-06 00:00:00+00:00,4505820,4602220,4354500,4460300,v4,symbol_interval,1d,SOL,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:10.100208+00:00
2023-08-07 00:00:00+00:00,4460300,4652520,4343380,4525130,v4,symbol_interval,1d,SOL,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:10.100208+00:00
2023-08-08 00:00:00+00:00,4525130,4773110,4432930,4503240,v4,symbol_interval,1d,SOL,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:10.100208+00:00
