ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-28 00:00:00+00:00,339320434.811,341662358.264,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-22T21:30:28.291651+00:00
2023-07-29 00:00:00+00:00,200059379.382,206776805.308,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T01:05:58.900846+00:00
2023-07-30 00:00:00+00:00,272294779.429,295388421.485,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-07-31 00:00:00+00:00,302072301.104,319489468.735,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-01 00:00:00+00:00,345998760.929,361234741.897,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-02 00:00:00+00:00,327347154.944,346802310.413,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-03 00:00:00+00:00,330105079.816,338353836.783,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-04 00:00:00+00:00,372387406.9,384379132.312,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-05 00:00:00+00:00,201614536.47,213168906.567,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-06 00:00:00+00:00,242732701.143,240836813.435,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-07 00:00:00+00:00,299232578.779,307380128.873,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-08 00:00:00+00:00,460729381.648,451045285.12,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-09 00:00:00+00:00,387847651.94,387515647.184,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-10 00:00:00+00:00,277174498.77,272871849.419,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-11 00:00:00+00:00,254273093.511,257642943.037,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-12 00:00:00+00:00,181876338.849,171472042.225,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-13 00:00:00+00:00,182285481.577,194012984.919,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-14 00:00:00+00:00,312135611.832,309499254.255,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-15 00:00:00+00:00,374271807.099,387715508.875,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-16 00:00:00+00:00,414922013.902,439595217.876,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-17 00:00:00+00:00,557614216.261,591988805.178,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-18 00:00:00+00:00,364847468.207,378978709.165,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-19 00:00:00+00:00,191178349.195,190169927.543,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-20 00:00:00+00:00,138912945.617,145810854.067,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-21 00:00:00+00:00,289242037.899,309041434.544,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-22 00:00:00+00:00,334433092.282,351147596.817,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-23 00:00:00+00:00,329269833.208,318060668.182,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-24 00:00:00+00:00,281489375.211,292607991.134,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-25 00:00:00+00:00,266762905.305,270589325.689,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-26 00:00:00+00:00,102610202.492,105959988.59,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-27 00:00:00+00:00,148196202.427,146589106.664,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-28 00:00:00+00:00,212287460.771,218734602.797,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-29 00:00:00+00:00,440998161.118,435822549.67,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-30 00:00:00+00:00,252115257.27,263922109.93,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-08-31 00:00:00+00:00,289425673.73,311304960.629,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-09-01 00:00:00+00:00,246681439.645,251234536.271,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-09-02 00:00:00+00:00,137774890.381,140896573.893,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-09-03 00:00:00+00:00,103821541.467,106297906.624,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-09-04 00:00:00+00:00,187571408.68,189813943.469,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-09-05 00:00:00+00:00,369216376.252,369628439.911,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-09-06 00:00:00+00:00,311952914.036,323770992.698,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-09-07 00:00:00+00:00,222629755.934,219114406.117,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-09-08 00:00:00+00:00,198008114.052,201763012.096,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-09-09 00:00:00+00:00,79358027.704,82937965.009,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-09-10 00:00:00+00:00,462334695.38,488837529.682,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-09-11 00:00:00+00:00,541964153.802,538020032.428,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-09-12 00:00:00+00:00,533932249.219,507088513.26,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-09-13 00:00:00+00:00,523377337.995,514609707.851,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-09-14 00:00:00+00:00,471837280.872,455020103.396,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-09-15 00:00:00+00:00,286941201.294,277275858.637,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-09-16 00:00:00+00:00,183968218.099,184858456.698,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
2023-09-17 00:00:00+00:00,144430222.673,152709253.828,v4,symbol_interval,1d,SOL,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:24:49.497701+00:00
