ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,-0.003495,0.010668,-0.01797,0.009735,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-23T01:08:25.401565+00:00
2023-07-30 00:00:00+00:00,0.009735,0.012398,-0.023542,-0.023439,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-07-31 00:00:00+00:00,-0.023439,0.011299,-0.045551,0.010951,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-01 00:00:00+00:00,0.010951,0.018147,-0.004153,0.01133,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-02 00:00:00+00:00,0.01133,0.014557,-0.014931,-0.002675,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-03 00:00:00+00:00,-0.002675,0.013478,-0.032982,-0.028725,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-04 00:00:00+00:00,-0.028725,0.011368,-0.047041,-0.001848,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-05 00:00:00+00:00,-0.001848,0.013209,-0.024777,0.003164,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-06 00:00:00+00:00,0.003164,0.014954,-0.00838,0.011473,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-07 00:00:00+00:00,0.011473,0.013401,-0.019302,0.006235,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-08 00:00:00+00:00,0.006235,0.011414,-0.00727,0.007106,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-09 00:00:00+00:00,0.007106,0.016723,0.00611,0.007167,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-10 00:00:00+00:00,0.007167,0.011471,-0.009906,0.008325,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-11 00:00:00+00:00,0.008325,0.015994,0.002455,0.011014,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-12 00:00:00+00:00,0.011014,0.019662,0.008044,0.011471,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-13 00:00:00+00:00,0.011471,0.017347,0.005042,0.011751,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-14 00:00:00+00:00,0.011751,0.019074,0.002452,0.008194,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-15 00:00:00+00:00,0.008194,0.01575,-0.005042,-0.005042,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-16 00:00:00+00:00,-0.005042,0.014992,-0.021368,-0.004474,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-17 00:00:00+00:00,-0.004474,0.010653,-0.044404,-0.044267,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-18 00:00:00+00:00,-0.044267,0.009413,-0.061944,-0.01354,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-19 00:00:00+00:00,-0.01354,0.006757,-0.03215,-0.002662,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-20 00:00:00+00:00,-0.002662,0.010779,-0.042447,0.004899,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-21 00:00:00+00:00,0.004899,0.009775,-0.010731,-0.010731,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-22 00:00:00+00:00,-0.010731,0.01113,-0.047311,-0.0061,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-23 00:00:00+00:00,-0.0061,0.009965,-0.028356,-0.003516,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-24 00:00:00+00:00,-0.003516,0.012562,-0.016788,-0.001467,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-25 00:00:00+00:00,-0.001467,0.007217,-0.035412,-0.009258,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-26 00:00:00+00:00,-0.009258,0.002596,-0.057921,-0.004532,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-27 00:00:00+00:00,-0.004532,-0.001469,-0.026156,-0.023223,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-28 00:00:00+00:00,-0.023223,0.002626,-0.039798,-0.038403,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-29 00:00:00+00:00,-0.038403,-0.007347,-0.053493,-0.043841,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-30 00:00:00+00:00,-0.043841,0.003333,-0.053951,-0.010557,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-08-31 00:00:00+00:00,-0.010557,0.002633,-0.035763,-0.020238,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-09-01 00:00:00+00:00,-0.020238,0.016286,-0.029354,-0.00179,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-09-02 00:00:00+00:00,-0.00179,0.004506,-0.023555,-0.015314,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-09-03 00:00:00+00:00,-0.015314,0.008193,-0.019725,-0.007693,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-09-04 00:00:00+00:00,-0.007693,0.005282,-0.013221,0.001657,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-09-05 00:00:00+00:00,0.001657,0.010845,-0.007288,0.005097,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
2023-09-06 00:00:00+00:00,0.005097,0.011939,0.002993,0.007992,v4,symbol_interval,1d,SUI,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:28:06.695514+00:00
