ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2024-09-18 00:00:00+00:00,30,1273120,30,1239580,v4,symbol_interval,1d,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:32.748311+00:00
2024-09-19 00:00:00+00:00,1239580,1393730,1239290,1370900,v4,symbol_interval,1d,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:32.748311+00:00
2024-09-20 00:00:00+00:00,1370900,1523630,593650,594040,v4,symbol_interval,1d,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:32.748311+00:00
2024-09-21 00:00:00+00:00,594040,609460,429530,453520,v4,symbol_interval,1d,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:32.748311+00:00
2024-09-22 00:00:00+00:00,453520,474260,378510,439140,v4,symbol_interval,1d,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:32.748311+00:00
2024-09-23 00:00:00+00:00,439140,579450,422330,578910,v4,symbol_interval,1d,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:32.748311+00:00
2024-09-24 00:00:00+00:00,578910,694130,510110,594050,v4,symbol_interval,1d,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:32.748311+00:00
2024-09-25 00:00:00+00:00,594050,1224990,569220,1224900,v4,symbol_interval,1d,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:32.748311+00:00
2024-09-26 00:00:00+00:00,1224900,1543460,1179900,1489110,v4,symbol_interval,1d,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:32.748311+00:00
2024-09-27 00:00:00+00:00,1489110,1819040,1256100,1729190,v4,symbol_interval,1d,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:32.748311+00:00
2024-09-28 00:00:00+00:00,1729190,1960900,1511430,1940710,v4,symbol_interval,1d,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:32.748311+00:00
2024-09-29 00:00:00+00:00,1940710,2324080,1810530,2144390,v4,symbol_interval,1d,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:32.748311+00:00
2024-09-30 00:00:00+00:00,2144390,2346290,2063410,2071090,v4,symbol_interval,1d,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:32.748311+00:00
2024-10-01 00:00:00+00:00,2071090,3939140,1800190,1807880,v4,symbol_interval,1d,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:32.748311+00:00
2024-10-02 00:00:00+00:00,1807880,1926330,1602290,1878960,v4,symbol_interval,1d,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:32.748311+00:00
2024-10-03 00:00:00+00:00,1878960,1891670,1391970,1410310,v4,symbol_interval,1d,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:32.748311+00:00
2024-10-04 00:00:00+00:00,1410310,2267230,1358860,2074920,v4,symbol_interval,1d,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:32.748311+00:00
2024-10-05 00:00:00+00:00,2074920,2179290,1990920,2075730,v4,symbol_interval,1d,SUI,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:27:32.748311+00:00
