ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,0.007514,0.013597,-0.000401,0.008928,v4,symbol_interval,1d,TRX,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T01:08:43.986887+00:00
2023-07-30 00:00:00+00:00,0.008928,0.014648,0.004847,0.006953,v4,symbol_interval,1d,TRX,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:34.799072+00:00
2023-07-31 00:00:00+00:00,0.006953,0.011063,-0.004979,0.000361,v4,symbol_interval,1d,TRX,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:34.799072+00:00
2023-08-01 00:00:00+00:00,0.000361,0.013759,-0.006409,0.008931,v4,symbol_interval,1d,TRX,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:34.799072+00:00
2023-08-02 00:00:00+00:00,0.008931,0.016194,-0.013581,-0.005666,v4,symbol_interval,1d,TRX,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:34.799072+00:00
2023-08-03 00:00:00+00:00,-0.005666,0.009079,-0.007142,-0.003914,v4,symbol_interval,1d,TRX,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:34.799072+00:00
2023-08-04 00:00:00+00:00,-0.003914,0.009328,-0.007549,-0.003106,v4,symbol_interval,1d,TRX,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:34.799072+00:00
2023-08-05 00:00:00+00:00,-0.003106,0.006,-0.016398,-0.011004,v4,symbol_interval,1d,TRX,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:34.799072+00:00
2023-08-06 00:00:00+00:00,-0.011004,0.005292,-0.033546,-0.033226,v4,symbol_interval,1d,TRX,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:34.799072+00:00
2023-08-07 00:00:00+00:00,-0.033226,0.002027,-0.040958,-0.014328,v4,symbol_interval,1d,TRX,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:34.799072+00:00
2023-08-08 00:00:00+00:00,-0.014328,0.008077,-0.016054,0.006365,v4,symbol_interval,1d,TRX,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:34.799072+00:00
2023-08-09 00:00:00+00:00,0.006365,0.014804,-0.01445,0.008831,v4,symbol_interval,1d,TRX,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:28:34.799072+00:00
