ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,397386884,397656066,382542947,388525284,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-23T01:07:29.073443+00:00
2023-07-30 00:00:00+00:00,388525284,391867712,365439579,380840426,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-07-31 00:00:00+00:00,380840426,401673920,370326057,379707847,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-01 00:00:00+00:00,379707847,383071376,329107189,330886477,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-02 00:00:00+00:00,330886477,331701222,316345985,322286495,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-03 00:00:00+00:00,322286495,326052454,317788657,318685899,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-04 00:00:00+00:00,318685899,324293080,311534002,312550573,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-05 00:00:00+00:00,312550573,312637646,299704937,310888089,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-06 00:00:00+00:00,310888089,340084397,306777492,325974668,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-07 00:00:00+00:00,325974668,337808417,321310811,321608511,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-08 00:00:00+00:00,321608511,347116530,320957255,339072473,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-09 00:00:00+00:00,339072473,346823853,335805223,343199447,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-10 00:00:00+00:00,343199447,344829972,338672641,339076254,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-11 00:00:00+00:00,339076254,343843058,336580180,342059290,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-12 00:00:00+00:00,342059290,347618616,341166130,341375129,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-13 00:00:00+00:00,341375129,349168512,336676620,341601862,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-14 00:00:00+00:00,341601862,360619946,339266170,345001046,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-15 00:00:00+00:00,345001046,347376466,332168746,332531386,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-16 00:00:00+00:00,332531386,352603939,332468407,338807696,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-17 00:00:00+00:00,338807696,339133446,306517643,309107502,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-18 00:00:00+00:00,309107502,319642552,303554855,318416319,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-19 00:00:00+00:00,318416319,323153364,314164580,314191131,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-20 00:00:00+00:00,314191131,321915185,308972707,319622906,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-21 00:00:00+00:00,319622906,330780626,315548703,320640988,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-22 00:00:00+00:00,320640988,328973707,317801463,323142431,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-23 00:00:00+00:00,323142431,346414061,320941726,338943059,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-24 00:00:00+00:00,338943059,348656354,335386590,343569914,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-25 00:00:00+00:00,343569914,356583239,336602729,354503636,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-26 00:00:00+00:00,354503636,383654559,350279662,379093202,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-27 00:00:00+00:00,379093202,388571732,379067804,383627663,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-28 00:00:00+00:00,383627663,384213599,344599440,348066903,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
2023-08-29 00:00:00+00:00,348066903,353078915,323125318,324821167,v4,symbol_interval,1d,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:26:52.423089+00:00
