ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,224140681.05,235806702.7661,v4,symbol_interval,1d,XRP,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:06:21.780658+00:00
2023-07-30 00:00:00+00:00,560821607.8832,596927927.958,v4,symbol_interval,1d,XRP,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:26.327262+00:00
2023-07-31 00:00:00+00:00,631151134.1726,659737444.9203,v4,symbol_interval,1d,XRP,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:26.327262+00:00
2023-08-01 00:00:00+00:00,573884008.2979,584384187.3512,v4,symbol_interval,1d,XRP,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:26.327262+00:00
2023-08-02 00:00:00+00:00,417834954.6695,453889758.3571,v4,symbol_interval,1d,XRP,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:26.327262+00:00
2023-08-03 00:00:00+00:00,571514533.125,612195217.8777,v4,symbol_interval,1d,XRP,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:26.327262+00:00
2023-08-04 00:00:00+00:00,628091765.1092,680549950.4289,v4,symbol_interval,1d,XRP,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:26.327262+00:00
2023-08-05 00:00:00+00:00,505400786.9091,521896807.327,v4,symbol_interval,1d,XRP,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:26.327262+00:00
2023-08-06 00:00:00+00:00,293110615.1639,303476728.51,v4,symbol_interval,1d,XRP,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:26.327262+00:00
2023-08-07 00:00:00+00:00,564790841.6793,590577433.3816,v4,symbol_interval,1d,XRP,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:26.327262+00:00
2023-08-08 00:00:00+00:00,544292043.0124,549716064.5456,v4,symbol_interval,1d,XRP,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:26.327262+00:00
2023-08-09 00:00:00+00:00,829987795.5128,855026785.8607,v4,symbol_interval,1d,XRP,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:26.327262+00:00
2023-08-10 00:00:00+00:00,455530387.9085,472015377.6182,v4,symbol_interval,1d,XRP,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:26.327262+00:00
2023-08-11 00:00:00+00:00,276029134.0114,280184856.6399,v4,symbol_interval,1d,XRP,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:25:26.327262+00:00
