ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-11-07 12:00:00+00:00,0.008185,0.008295,0.003354,0.003905,v4,symbol_interval,4h,ADA,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:16.012188+00:00
2025-11-07 16:00:00+00:00,0.003905,0.007016,-0.002293,0.002523,v4,symbol_interval,4h,ADA,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:16.012188+00:00
2025-11-07 20:00:00+00:00,0.002523,0.005775,0.002523,0.005775,v4,symbol_interval,4h,ADA,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:16.012188+00:00
2025-11-08 00:00:00+00:00,0.005775,0.007398,-0.015716,0.004276,v4,symbol_interval,4h,ADA,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:16.012188+00:00
2025-11-08 04:00:00+00:00,0.004276,0.006759,-0.012909,0.006678,v4,symbol_interval,4h,ADA,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:16.012188+00:00
2025-11-08 08:00:00+00:00,0.006678,0.008102,0.001867,0.003448,v4,symbol_interval,4h,ADA,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:16.012188+00:00
2025-11-08 12:00:00+00:00,0.003448,0.007342,0.000648,0.00731,v4,symbol_interval,4h,ADA,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:16.012188+00:00
2025-11-08 16:00:00+00:00,0.00731,0.007796,-0.003154,-0.003067,v4,symbol_interval,4h,ADA,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:29.959305+00:00
2025-11-08 20:00:00+00:00,-0.003067,-0.002825,-0.006051,-0.005037,v4,symbol_interval,4h,ADA,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:29.959305+00:00
2025-11-09 00:00:00+00:00,-0.005037,0.001048,-0.00604,0.001048,v4,symbol_interval,4h,ADA,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:29.959305+00:00
2025-11-09 04:00:00+00:00,0.001048,0.003724,0.000909,0.002161,v4,symbol_interval,4h,ADA,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:29.959305+00:00
