ts,open_basis,close_basis,open_change,close_change,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-11-07 12:00:00+00:00,0.0425,0.0476,0.007,0.008,v4,symbol_interval,4h,AVAX,basis,futures/basis/history,2026-04-23T00:57:33.386120+00:00
2025-11-07 16:00:00+00:00,0.1012,0.0337,0.017,0.006,v4,symbol_interval,4h,AVAX,basis,futures/basis/history,2026-04-23T00:57:33.386120+00:00
2025-11-07 20:00:00+00:00,0.0281,0.0,0.005,0.0,v4,symbol_interval,4h,AVAX,basis,futures/basis/history,2026-04-23T00:57:33.386120+00:00
2025-11-08 00:00:00+00:00,0.062,0.0336,0.011,0.006,v4,symbol_interval,4h,AVAX,basis,futures/basis/history,2026-04-23T00:57:33.386120+00:00
2025-11-08 04:00:00+00:00,0.028,0.0896,0.005,0.016,v4,symbol_interval,4h,AVAX,basis,futures/basis/history,2026-04-23T00:57:33.386120+00:00
2025-11-08 08:00:00+00:00,0.0392,0.0562,0.007,0.01,v4,symbol_interval,4h,AVAX,basis,futures/basis/history,2026-04-23T00:57:33.386120+00:00
2025-11-08 12:00:00+00:00,0.0619,-0.0058,0.011,-0.001,v4,symbol_interval,4h,AVAX,basis,futures/basis/history,2026-04-23T00:57:33.386120+00:00
2025-11-08 16:00:00+00:00,0.0525,0.0868,0.009,0.015,v4,symbol_interval,4h,AVAX,basis,futures/basis/history,2026-04-24T04:12:10.059823+00:00
2025-11-08 20:00:00+00:00,0.081,0.0686,0.014,0.012,v4,symbol_interval,4h,AVAX,basis,futures/basis/history,2026-04-24T04:12:10.059823+00:00
2025-11-09 00:00:00+00:00,0.0686,0.0592,0.012,0.01,v4,symbol_interval,4h,AVAX,basis,futures/basis/history,2026-04-24T04:12:10.059823+00:00
2025-11-09 04:00:00+00:00,0.0592,0.035,0.01,0.006,v4,symbol_interval,4h,AVAX,basis,futures/basis/history,2026-04-24T04:12:10.059823+00:00
2025-11-09 08:00:00+00:00,0.035,0.0811,0.006,0.014,v4,symbol_interval,4h,AVAX,basis,futures/basis/history,2026-04-24T04:12:10.059823+00:00
