ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-11-07 12:00:00+00:00,5553840,5607500,5527690,5570860,v4,symbol_interval,4h,AVAX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T00:58:37.338174+00:00
2025-11-07 16:00:00+00:00,5570860,5656920,5533760,5533760,v4,symbol_interval,4h,AVAX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T00:58:37.338174+00:00
2025-11-07 20:00:00+00:00,5533760,5579710,5500930,5535600,v4,symbol_interval,4h,AVAX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T00:58:37.338174+00:00
2025-11-08 00:00:00+00:00,5535600,5577580,5366680,5369820,v4,symbol_interval,4h,AVAX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T00:58:37.338174+00:00
2025-11-08 04:00:00+00:00,5369820,5374570,5295500,5333550,v4,symbol_interval,4h,AVAX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T00:58:37.338174+00:00
2025-11-08 08:00:00+00:00,5333550,5340540,5271920,5271920,v4,symbol_interval,4h,AVAX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T00:58:37.338174+00:00
2025-11-08 12:00:00+00:00,5271920,5337050,5270680,5304350,v4,symbol_interval,4h,AVAX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T00:58:37.338174+00:00
2025-11-08 16:00:00+00:00,5304350,5398900,5292290,5365970,v4,symbol_interval,4h,AVAX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:27.239794+00:00
2025-11-08 20:00:00+00:00,5365970,5369020,5311090,5311090,v4,symbol_interval,4h,AVAX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:27.239794+00:00
2025-11-09 00:00:00+00:00,5311090,5311090,5214660,5251770,v4,symbol_interval,4h,AVAX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:27.239794+00:00
2025-11-09 04:00:00+00:00,5251770,5270260,5232280,5232280,v4,symbol_interval,4h,AVAX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:27.239794+00:00
2025-11-09 08:00:00+00:00,5232280,5269820,5205680,5266470,v4,symbol_interval,4h,AVAX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:27.239794+00:00
2025-11-09 12:00:00+00:00,5266470,5377840,5225020,5278610,v4,symbol_interval,4h,AVAX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:27.239794+00:00
2025-11-09 16:00:00+00:00,5278610,5282040,5227380,5244080,v4,symbol_interval,4h,AVAX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:27.239794+00:00
2025-11-09 20:00:00+00:00,5244080,5309670,5232060,5304760,v4,symbol_interval,4h,AVAX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:27.239794+00:00
2025-11-10 00:00:00+00:00,5304760,5304760,5219500,5262480,v4,symbol_interval,4h,AVAX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:27.239794+00:00
2025-11-10 04:00:00+00:00,5262480,5296510,5247890,5264460,v4,symbol_interval,4h,AVAX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:27.239794+00:00
2025-11-10 08:00:00+00:00,5264460,5285220,5146180,5158960,v4,symbol_interval,4h,AVAX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:27.239794+00:00
2025-11-10 12:00:00+00:00,5158960,5180020,5114380,5123290,v4,symbol_interval,4h,AVAX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:27.239794+00:00
2025-11-10 16:00:00+00:00,5123290,5123290,5076530,5109930,v4,symbol_interval,4h,AVAX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:27.239794+00:00
