ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-11-07 08:00:00+00:00,88664060,89542310,87802050,89374920,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-22T21:25:49.103453+00:00
2025-11-07 12:00:00+00:00,89374920,89435970,88772440,88856590,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T00:58:03.228417+00:00
2025-11-07 16:00:00+00:00,88856590,89215660,86466500,86566120,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T00:58:03.228417+00:00
2025-11-07 20:00:00+00:00,86566120,86568800,84859840,84931260,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T00:58:03.228417+00:00
2025-11-08 00:00:00+00:00,84931260,87354930,84848510,87178630,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T00:58:03.228417+00:00
2025-11-08 04:00:00+00:00,87178630,87281730,86551800,86553840,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T00:58:03.228417+00:00
2025-11-08 08:00:00+00:00,86553840,89270040,86361730,86671180,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T00:58:03.228417+00:00
2025-11-08 12:00:00+00:00,86671180,86751920,86127950,86129100,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T00:58:03.228417+00:00
2025-11-08 16:00:00+00:00,86129100,86195170,85807290,85840910,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-08 20:00:00+00:00,85840910,85935980,85787830,85931670,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-09 00:00:00+00:00,85931670,89119330,85878710,88676740,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-09 04:00:00+00:00,88676740,88694280,87473960,87491770,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-09 08:00:00+00:00,87491770,87688650,87432230,87613850,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-09 12:00:00+00:00,87613850,90070940,87448790,89279150,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-09 16:00:00+00:00,89279150,89692160,89060500,89615850,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-09 20:00:00+00:00,89615850,89616180,88720880,88887190,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-10 00:00:00+00:00,88887190,90728520,88690550,89300120,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-10 04:00:00+00:00,89300120,91588380,89224830,91143410,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-10 08:00:00+00:00,91143410,92074190,90876830,91307900,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-10 12:00:00+00:00,91307900,92332500,90547120,92147650,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-10 16:00:00+00:00,92147650,93043600,92147070,92280950,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-10 20:00:00+00:00,92280950,92380330,91690140,91713800,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-11 00:00:00+00:00,91713800,91811920,91110280,91124510,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-11 04:00:00+00:00,91124510,91859970,90814030,91831010,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-11 08:00:00+00:00,91831010,92539210,91828590,92111570,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-11 12:00:00+00:00,92111570,92735740,91938320,92722040,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-11 16:00:00+00:00,92722040,93239200,92476290,92963710,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-11 20:00:00+00:00,92963710,93126440,92156620,92621610,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-12 00:00:00+00:00,92621610,92692820,92450720,92626060,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-12 04:00:00+00:00,92626060,93978240,92616860,93857530,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-12 08:00:00+00:00,93857530,94471810,93559870,94197660,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-12 12:00:00+00:00,94197660,94472430,93775730,94225780,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-12 16:00:00+00:00,94225780,95194920,94199740,94962740,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-12 20:00:00+00:00,94962740,95201670,94503890,94542890,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-13 00:00:00+00:00,94542890,94819020,94491810,94777460,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-13 04:00:00+00:00,94777460,94990130,94227130,94276150,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-13 08:00:00+00:00,94276150,94291930,93852470,94078090,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-13 12:00:00+00:00,94078090,94602130,93426730,94414270,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-13 16:00:00+00:00,94414270,98488130,94104190,98478840,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-13 20:00:00+00:00,98478840,101442630,98123080,101441700,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-14 00:00:00+00:00,101441700,102749550,101365460,102733070,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-14 04:00:00+00:00,102733070,103506560,101858090,103166910,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-14 08:00:00+00:00,103166910,103415370,102928720,103399320,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-14 12:00:00+00:00,103399320,103858280,102427200,103453450,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-14 16:00:00+00:00,103453450,103725380,102901400,102903420,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-14 20:00:00+00:00,102903420,102910640,102283800,102291810,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-15 00:00:00+00:00,102291810,102567440,102135270,102203900,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-15 04:00:00+00:00,102203900,102204030,101719950,101859990,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-15 08:00:00+00:00,101859990,101882630,101223640,101365110,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-15 12:00:00+00:00,101365110,101484740,101261260,101382300,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-15 16:00:00+00:00,101382300,101709880,101266000,101572710,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-15 20:00:00+00:00,101572710,101634940,101384090,101603710,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-16 00:00:00+00:00,101603710,102225880,101555220,102063360,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-16 04:00:00+00:00,102063360,102064170,101409680,101432040,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-16 08:00:00+00:00,101432040,102105100,101215780,102050570,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-16 12:00:00+00:00,102050570,104361590,102046320,104358220,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-16 16:00:00+00:00,104358220,105451030,103807100,104836240,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-16 20:00:00+00:00,104836240,105374040,104737910,105368790,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-17 00:00:00+00:00,105368790,105720330,105126130,105144370,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-17 04:00:00+00:00,105144370,105152610,104640570,104943170,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-17 08:00:00+00:00,104943170,104969030,104668860,104807320,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-17 12:00:00+00:00,104807320,106459900,103416230,104615090,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-17 16:00:00+00:00,104615090,107525070,104552270,107474730,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-17 20:00:00+00:00,107474730,108121260,107181750,107868300,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-18 00:00:00+00:00,107868300,112969920,107384610,111564300,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-18 04:00:00+00:00,111564300,112282310,110109030,110109030,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
2025-11-18 08:00:00+00:00,110109030,110233260,109079770,109301720,v4,symbol_interval,4h,BNB,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:08.505231+00:00
