ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-11-07 12:00:00+00:00,155495382.6936,159323387.6748,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T00:56:46.798176+00:00
2025-11-07 16:00:00+00:00,225473468.4324,189843227.434,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T00:56:46.798176+00:00
2025-11-07 20:00:00+00:00,58804769.4439,63476611.1976,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T00:56:46.798176+00:00
2025-11-08 00:00:00+00:00,116249304.9769,120517581.7095,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T00:56:46.798176+00:00
2025-11-08 04:00:00+00:00,75186278.9968,87507690.1856,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T00:56:46.798176+00:00
2025-11-08 08:00:00+00:00,71205410.8295,72262608.2062,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T00:56:46.798176+00:00
2025-11-08 12:00:00+00:00,100653993.7559,112102310.8805,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T00:56:46.798176+00:00
2025-11-08 16:00:00+00:00,58348304.6302,55627934.3724,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-08 20:00:00+00:00,30941366.323,32312878.5973,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-09 00:00:00+00:00,51243950.3679,55620316.8452,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-09 04:00:00+00:00,43533623.8415,40988939.6278,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-09 08:00:00+00:00,54851169.883,57844384.0745,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-09 12:00:00+00:00,124216092.3902,120920635.964,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-09 16:00:00+00:00,57449514.7482,57886860.8594,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-09 20:00:00+00:00,57723291.6445,64083718.8606,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-10 00:00:00+00:00,104832085.1821,109837255.7595,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-10 04:00:00+00:00,44696294.0076,53643129.4751,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-10 08:00:00+00:00,90931824.6648,91504159.2653,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-10 12:00:00+00:00,104876576.1148,128792290.193,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-10 16:00:00+00:00,66982906.1212,63051343.7345,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-10 20:00:00+00:00,52935215.8035,63442461.8369,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-11 00:00:00+00:00,141808961.7733,143144301.6046,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-11 04:00:00+00:00,83640294.518,92520482.9128,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-11 08:00:00+00:00,52618846.6572,49930808.6598,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-11 12:00:00+00:00,97064225.0073,105059821.7972,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-11 16:00:00+00:00,92358405.3288,85727164.9655,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-11 20:00:00+00:00,53781963.7622,61687133.9818,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-12 00:00:00+00:00,51277236.1793,57315227.5021,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-12 04:00:00+00:00,31422500.3652,35542709.8213,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-12 08:00:00+00:00,88527947.2312,84766624.6361,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-12 12:00:00+00:00,120435930.8734,137360844.429,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-12 16:00:00+00:00,143345613.9243,135983092.6702,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-12 20:00:00+00:00,39673224.8321,39994848.255,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-13 00:00:00+00:00,81946662.1865,73433448.7062,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-13 04:00:00+00:00,78544261.9547,72328080.0091,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-13 08:00:00+00:00,50204459.65,56058066.6061,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-13 12:00:00+00:00,122501470.1553,131982483.1526,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-13 16:00:00+00:00,174118019.3962,194153754.9929,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
2025-11-13 20:00:00+00:00,101884946.3931,96118153.3914,v4,symbol_interval,4h,DOGE,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:10:55.725993+00:00
