ts,long_quantity,short_quantity,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-11-07 08:00:00+00:00,81382.35,2727.48,v4,symbol_interval,4h,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-22T21:26:27.068116+00:00
2025-11-07 12:00:00+00:00,81436.63,2777.86,v4,symbol_interval,4h,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-23T00:59:36.663480+00:00
2025-11-07 16:00:00+00:00,81558.69,2806.72,v4,symbol_interval,4h,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-23T00:59:36.663480+00:00
2025-11-07 20:00:00+00:00,81877.71,2787.51,v4,symbol_interval,4h,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-23T00:59:36.663480+00:00
2025-11-08 00:00:00+00:00,81849.3,2743.85,v4,symbol_interval,4h,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-23T00:59:36.663480+00:00
2025-11-08 04:00:00+00:00,81853.44,2743.34,v4,symbol_interval,4h,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-23T00:59:36.663480+00:00
2025-11-08 08:00:00+00:00,81806.63,2731.73,v4,symbol_interval,4h,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-23T00:59:36.663480+00:00
2025-11-08 12:00:00+00:00,81828.27,2775.28,v4,symbol_interval,4h,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-23T00:59:36.663480+00:00
2025-11-08 16:00:00+00:00,81847.12,2788.88,v4,symbol_interval,4h,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:14:55.197326+00:00
2025-11-08 20:00:00+00:00,81865.97,2793.82,v4,symbol_interval,4h,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:14:55.197326+00:00
2025-11-09 00:00:00+00:00,82357.16,2790.77,v4,symbol_interval,4h,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:14:55.197326+00:00
2025-11-09 04:00:00+00:00,82305.37,2802.62,v4,symbol_interval,4h,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:14:55.197326+00:00
2025-11-09 08:00:00+00:00,82303.67,2802.33,v4,symbol_interval,4h,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:14:55.197326+00:00
2025-11-09 12:00:00+00:00,82309.39,2809.5,v4,symbol_interval,4h,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:14:55.197326+00:00
2025-11-09 16:00:00+00:00,82235.14,2603.97,v4,symbol_interval,4h,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:14:55.197326+00:00
2025-11-09 20:00:00+00:00,82312.79,2587.57,v4,symbol_interval,4h,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:14:55.197326+00:00
2025-11-10 00:00:00+00:00,82124.28,2556.8,v4,symbol_interval,4h,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:14:55.197326+00:00
2025-11-10 04:00:00+00:00,82247.75,2667.68,v4,symbol_interval,4h,ETH,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:14:55.197326+00:00
