ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-11-07 08:00:00+00:00,795622494.33,800676135.19,788954815.91,797805900.59,v4,symbol_interval,4h,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-22T21:25:45.594317+00:00
2025-11-07 12:00:00+00:00,797805900.59,800484777.23,783239177.63,783794325.75,v4,symbol_interval,4h,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T00:58:01.792569+00:00
2025-11-07 16:00:00+00:00,783794325.75,793468643.92,753300136.89,753300223.93,v4,symbol_interval,4h,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T00:58:01.792569+00:00
2025-11-07 20:00:00+00:00,753300223.93,753300232.26,741090967.99,741099247.99,v4,symbol_interval,4h,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T00:58:01.792569+00:00
2025-11-08 00:00:00+00:00,741099247.99,747419656.62,739099484.56,741850003.92,v4,symbol_interval,4h,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T00:58:01.792569+00:00
2025-11-08 04:00:00+00:00,741850003.92,743303169.75,734255439.78,735464346.24,v4,symbol_interval,4h,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T00:58:01.792569+00:00
2025-11-08 08:00:00+00:00,735464346.24,740367091.53,732392905.54,732392905.54,v4,symbol_interval,4h,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T00:58:01.792569+00:00
2025-11-08 12:00:00+00:00,732392905.54,736662585.54,732168236.53,735963780.92,v4,symbol_interval,4h,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T00:58:01.792569+00:00
2025-11-08 16:00:00+00:00,735963780.92,740958462.93,735949359.87,738375161.58,v4,symbol_interval,4h,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:04.110422+00:00
2025-11-08 20:00:00+00:00,738375161.58,739408928.74,737381115.5,737946177.89,v4,symbol_interval,4h,ETH,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:13:04.110422+00:00
