ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-11-07 08:00:00+00:00,1854251796.716,1929827876.1891,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-22T21:25:00.745185+00:00
2025-11-07 12:00:00+00:00,3501712869.8947,3406841759.6891,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T00:57:00.775113+00:00
2025-11-07 16:00:00+00:00,2735791055.7907,2550115465.4837,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T00:57:00.775113+00:00
2025-11-07 20:00:00+00:00,1067171055.6513,1064192482.9698,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T00:57:00.775113+00:00
2025-11-08 00:00:00+00:00,1034152615.8797,1051671727.3153,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T00:57:00.775113+00:00
2025-11-08 04:00:00+00:00,1225132562.2384,1232897408.9606,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T00:57:00.775113+00:00
2025-11-08 08:00:00+00:00,864768113.3771,929115162.2556,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T00:57:00.775113+00:00
2025-11-08 12:00:00+00:00,1411037000.1894,1464366757.1383,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T00:57:00.775113+00:00
2025-11-08 16:00:00+00:00,1155045115.9374,1094115444.6023,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:15.805078+00:00
2025-11-08 20:00:00+00:00,367505983.8154,381929326.4187,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:15.805078+00:00
2025-11-09 00:00:00+00:00,682327057.3523,719524148.7862,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:15.805078+00:00
2025-11-09 04:00:00+00:00,757383765.1153,674305466.1991,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:15.805078+00:00
2025-11-09 08:00:00+00:00,950355428.9368,927806428.3849,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:15.805078+00:00
2025-11-09 12:00:00+00:00,2750594753.6551,2499118682.9042,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:15.805078+00:00
2025-11-09 16:00:00+00:00,1326125283.1381,1224805372.5982,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:15.805078+00:00
2025-11-09 20:00:00+00:00,1438021323.5417,1380784361.8667,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:15.805078+00:00
2025-11-10 00:00:00+00:00,2059646370.103,1976824699.4546,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:15.805078+00:00
2025-11-10 04:00:00+00:00,965029850.1389,945378134.0216,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:15.805078+00:00
2025-11-10 08:00:00+00:00,1030429095.7581,999306333.8255,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:15.805078+00:00
2025-11-10 12:00:00+00:00,2495436366.6602,2690661071.11,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:15.805078+00:00
2025-11-10 16:00:00+00:00,1670093668.7193,1468500101.5752,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:15.805078+00:00
2025-11-10 20:00:00+00:00,923638923.1025,904276800.8242,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:15.805078+00:00
2025-11-11 00:00:00+00:00,2081489711.5667,1949813266.912,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:15.805078+00:00
2025-11-11 04:00:00+00:00,1451258637.7776,1582418029.9482,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:15.805078+00:00
2025-11-11 08:00:00+00:00,216497365.5884,187849090.8002,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:15.805078+00:00
2025-11-11 12:00:00+00:00,2869509347.0953,3083671010.376,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:15.805078+00:00
2025-11-11 16:00:00+00:00,1637161044.2669,1640341317.0344,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:15.805078+00:00
2025-11-11 20:00:00+00:00,1440751098.1732,1439728882.1776,v4,symbol_interval,4h,ETH,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:15.805078+00:00
