ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-11-07 12:00:00+00:00,0.007032,0.008481,0.006758,0.008171,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-23T00:58:58.280351+00:00
2025-11-07 16:00:00+00:00,0.008171,0.01018,0.001264,0.008283,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-23T00:58:58.280351+00:00
2025-11-07 20:00:00+00:00,0.008283,0.009218,0.008153,0.008719,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-23T00:58:58.280351+00:00
2025-11-08 00:00:00+00:00,0.008719,0.010493,0.006934,0.00844,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-23T00:58:58.280351+00:00
2025-11-08 04:00:00+00:00,0.00844,0.008667,0.003953,0.004963,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-23T00:58:58.280351+00:00
2025-11-08 08:00:00+00:00,0.004963,0.006718,-0.00349,0.003298,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-23T00:58:58.280351+00:00
2025-11-08 12:00:00+00:00,0.003298,0.004917,0.001146,0.001146,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-23T00:58:58.280351+00:00
2025-11-08 16:00:00+00:00,0.001146,0.007256,-0.008518,-0.000429,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-08 20:00:00+00:00,-0.000429,0.001359,-0.000576,-0.000177,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-09 00:00:00+00:00,-0.000177,0.004647,-0.011122,-0.002404,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-09 04:00:00+00:00,-0.002404,0.000721,-0.003806,0.000721,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-09 08:00:00+00:00,0.000721,0.006972,-0.004474,0.00266,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-09 12:00:00+00:00,0.00266,0.003231,0.000279,0.000611,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-09 16:00:00+00:00,0.000611,0.004094,-0.019971,0.002372,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-09 20:00:00+00:00,0.002372,0.003349,0.001924,0.002478,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-10 00:00:00+00:00,0.002478,0.008585,-0.007765,-0.000307,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-10 04:00:00+00:00,-0.000307,0.003531,-0.000362,0.002499,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-10 08:00:00+00:00,0.002499,0.008501,-0.003956,0.007869,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-10 12:00:00+00:00,0.007869,0.009097,0.007523,0.009019,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-10 16:00:00+00:00,0.009019,0.010249,0.009019,0.009642,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-10 20:00:00+00:00,0.009642,0.009778,0.007082,0.007083,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-11 00:00:00+00:00,0.007083,0.008595,-0.002297,0.004329,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-11 04:00:00+00:00,0.004329,0.004329,-0.002881,-0.002813,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-11 08:00:00+00:00,-0.002813,0.003547,-0.012079,-0.003379,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-11 12:00:00+00:00,-0.003379,0.004906,-0.004928,0.004906,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-11 16:00:00+00:00,0.004906,0.01001,0.004906,0.007762,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-11 20:00:00+00:00,0.007762,0.00777,0.003207,0.003211,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-12 00:00:00+00:00,0.003211,0.007614,-0.005297,-0.005178,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-12 04:00:00+00:00,-0.005178,-0.001871,-0.005484,-0.002123,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-12 08:00:00+00:00,-0.002123,0.004916,-0.002908,0.002942,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-12 12:00:00+00:00,0.002942,0.007691,0.002942,0.007168,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-12 16:00:00+00:00,0.007168,0.007168,-0.013308,-0.013243,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-12 20:00:00+00:00,-0.013243,-0.012485,-0.014905,-0.012485,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-13 00:00:00+00:00,-0.012485,0.00067,-0.012881,-0.003114,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-13 04:00:00+00:00,-0.003114,0.00558,-0.003145,0.00558,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-13 08:00:00+00:00,0.00558,0.010126,-0.004861,0.009982,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-13 12:00:00+00:00,0.009982,0.010034,0.009483,0.009483,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-13 16:00:00+00:00,0.009483,0.009506,0.000775,0.000775,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-13 20:00:00+00:00,0.000775,0.000775,-0.008336,-0.008191,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-14 00:00:00+00:00,-0.008191,0.001434,-0.019362,-0.000573,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-14 04:00:00+00:00,-0.000573,0.006503,-0.001732,0.004762,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-14 08:00:00+00:00,0.004762,0.004762,-0.013712,-0.006483,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-14 12:00:00+00:00,-0.006483,0.006025,-0.006483,0.005764,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-14 16:00:00+00:00,0.005764,0.008282,0.003639,0.006736,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-14 20:00:00+00:00,0.006736,0.006865,0.004588,0.004632,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-15 00:00:00+00:00,0.004632,0.007352,-0.000751,0.002753,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-15 04:00:00+00:00,0.002753,0.006946,0.002575,0.006937,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-15 08:00:00+00:00,0.006937,0.008889,-0.0058,0.003591,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
2025-11-15 12:00:00+00:00,0.003591,0.006709,0.00314,0.006142,v4,symbol_interval,4h,LINK,fr_oi_weight,futures/funding-rate/oi-weight-history,2026-04-24T04:13:59.547127+00:00
