ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-11-07 12:00:00+00:00,0.009145,0.009174,0.007722,0.008232,v4,symbol_interval,4h,LINK,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:18.389913+00:00
2025-11-07 16:00:00+00:00,0.008232,0.010631,0.007626,0.008635,v4,symbol_interval,4h,LINK,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:18.389913+00:00
2025-11-07 20:00:00+00:00,0.008635,0.009957,0.008635,0.009957,v4,symbol_interval,4h,LINK,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:18.389913+00:00
2025-11-08 00:00:00+00:00,0.009957,0.011241,0.009746,0.009746,v4,symbol_interval,4h,LINK,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:18.389913+00:00
2025-11-08 04:00:00+00:00,0.009746,0.009835,-0.001802,0.007112,v4,symbol_interval,4h,LINK,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:18.389913+00:00
2025-11-08 08:00:00+00:00,0.007112,0.007112,0.001448,0.003238,v4,symbol_interval,4h,LINK,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:18.389913+00:00
2025-11-08 12:00:00+00:00,0.003238,0.006412,0.003238,0.003252,v4,symbol_interval,4h,LINK,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:18.389913+00:00
2025-11-08 16:00:00+00:00,0.003252,0.006194,-0.001607,-0.001493,v4,symbol_interval,4h,LINK,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:35.685119+00:00
2025-11-08 20:00:00+00:00,-0.001493,-9.1e-05,-0.001885,-0.000111,v4,symbol_interval,4h,LINK,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:35.685119+00:00
2025-11-09 00:00:00+00:00,-0.000111,0.003567,-0.004592,-0.001238,v4,symbol_interval,4h,LINK,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:35.685119+00:00
2025-11-09 04:00:00+00:00,-0.001238,-0.000279,-0.003789,-0.000279,v4,symbol_interval,4h,LINK,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:35.685119+00:00
2025-11-09 08:00:00+00:00,-0.000279,0.002507,-0.001742,0.002317,v4,symbol_interval,4h,LINK,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:35.685119+00:00
2025-11-09 12:00:00+00:00,0.002317,0.003787,0.001206,0.001228,v4,symbol_interval,4h,LINK,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:35.685119+00:00
2025-11-09 16:00:00+00:00,0.001228,0.004565,-0.004239,0.004565,v4,symbol_interval,4h,LINK,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:35.685119+00:00
2025-11-09 20:00:00+00:00,0.004565,0.006893,0.004401,0.006113,v4,symbol_interval,4h,LINK,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:35.685119+00:00
2025-11-10 00:00:00+00:00,0.006113,0.007801,-0.003598,-0.002101,v4,symbol_interval,4h,LINK,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:35.685119+00:00
2025-11-10 04:00:00+00:00,-0.002101,0.001612,-0.002762,-0.000225,v4,symbol_interval,4h,LINK,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:35.685119+00:00
2025-11-10 08:00:00+00:00,-0.000225,0.008392,-0.003228,0.00834,v4,symbol_interval,4h,LINK,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:35.685119+00:00
2025-11-10 12:00:00+00:00,0.00834,0.00976,0.008253,0.009708,v4,symbol_interval,4h,LINK,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:35.685119+00:00
2025-11-10 16:00:00+00:00,0.009708,0.011194,0.009708,0.009888,v4,symbol_interval,4h,LINK,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:35.685119+00:00
2025-11-10 20:00:00+00:00,0.009888,0.009917,0.007563,0.007563,v4,symbol_interval,4h,LINK,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:35.685119+00:00
