ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-11-07 12:00:00+00:00,0.009084,0.009084,0.004605,0.004605,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:22.087995+00:00
2025-11-07 16:00:00+00:00,0.004605,0.00973,0.004605,0.009679,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:22.087995+00:00
2025-11-07 20:00:00+00:00,0.009679,0.01,0.007353,0.007728,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:22.087995+00:00
2025-11-08 00:00:00+00:00,0.007728,0.009418,0.005362,0.009106,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:22.087995+00:00
2025-11-08 04:00:00+00:00,0.009106,0.009106,0.00599,0.008238,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:22.087995+00:00
2025-11-08 08:00:00+00:00,0.008238,0.008712,0.0067,0.007112,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:22.087995+00:00
2025-11-08 12:00:00+00:00,0.007112,0.008844,0.006981,0.008839,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:22.087995+00:00
2025-11-08 16:00:00+00:00,0.008839,0.010086,0.00621,0.00621,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-08 20:00:00+00:00,0.00621,0.00621,0.002306,0.002306,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-09 00:00:00+00:00,0.002306,0.008813,-0.005576,0.008734,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-09 04:00:00+00:00,0.008734,0.008734,0.001601,0.001656,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-09 08:00:00+00:00,0.001656,0.004369,-0.003405,0.004369,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-09 12:00:00+00:00,0.004369,0.004506,0.001184,0.004013,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-09 16:00:00+00:00,0.004013,0.006078,0.001078,0.001728,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-09 20:00:00+00:00,0.001728,0.005502,0.001703,0.004796,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-10 00:00:00+00:00,0.004796,0.005219,-0.000835,0.00159,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-10 04:00:00+00:00,0.00159,0.003436,-0.000402,-6.2e-05,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-10 08:00:00+00:00,-6.2e-05,0.002669,-0.001157,-0.000815,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-10 12:00:00+00:00,-0.000815,0.003169,-0.000847,0.002607,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-10 16:00:00+00:00,0.002607,0.00489,-0.001945,0.000563,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-10 20:00:00+00:00,0.000563,0.005789,0.000111,0.005789,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-11 00:00:00+00:00,0.005789,0.008818,0.003548,0.005664,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-11 04:00:00+00:00,0.005664,0.005664,0.002527,0.004294,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-11 08:00:00+00:00,0.004294,0.007399,0.002318,0.005409,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-11 12:00:00+00:00,0.005409,0.009119,0.00485,0.009119,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-11 16:00:00+00:00,0.009119,0.01044,0.008422,0.009099,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-11 20:00:00+00:00,0.009099,0.009138,0.006489,0.006714,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-12 00:00:00+00:00,0.006714,0.008975,0.003887,0.008738,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-12 04:00:00+00:00,0.008738,0.009014,0.005988,0.005988,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-12 08:00:00+00:00,0.005988,0.006967,0.004278,0.004591,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-12 12:00:00+00:00,0.004591,0.004769,0.001133,0.003814,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-12 16:00:00+00:00,0.003814,0.007531,-0.000892,0.001856,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-12 20:00:00+00:00,0.001856,0.003802,-0.003493,0.003564,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-13 00:00:00+00:00,0.003564,0.005229,0.001929,0.003954,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-13 04:00:00+00:00,0.003954,0.004845,0.003461,0.004109,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-13 08:00:00+00:00,0.004109,0.007859,0.000238,0.005758,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-13 12:00:00+00:00,0.005758,0.005768,0.000173,0.000849,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-13 16:00:00+00:00,0.000849,0.007652,-0.000416,0.004074,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-13 20:00:00+00:00,0.004074,0.004266,0.000831,0.001278,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-14 00:00:00+00:00,0.001278,0.005604,-0.000156,0.005465,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-14 04:00:00+00:00,0.005465,0.009055,0.005465,0.00892,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-14 08:00:00+00:00,0.00892,0.00892,0.005154,0.007865,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-14 12:00:00+00:00,0.007865,0.008414,0.007367,0.0084,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-14 16:00:00+00:00,0.0084,0.010614,0.0084,0.009259,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-14 20:00:00+00:00,0.009259,0.009259,0.004846,0.004855,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-15 00:00:00+00:00,0.004855,0.006874,0.001727,0.006537,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-15 04:00:00+00:00,0.006537,0.009317,0.006537,0.009232,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-15 08:00:00+00:00,0.009232,0.009761,0.003564,0.003579,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-15 12:00:00+00:00,0.003579,0.007057,0.003093,0.007057,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-15 16:00:00+00:00,0.007057,0.009151,0.001888,0.001888,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-15 20:00:00+00:00,0.001888,0.002526,0.001225,0.002094,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-16 00:00:00+00:00,0.002094,0.006475,0.0017,0.004246,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
2025-11-16 04:00:00+00:00,0.004246,0.005627,0.003949,0.004166,v4,symbol_interval,4h,LTC,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:46.529809+00:00
